CODICE FISCALE   HB5ORS AQJ F MZ ,  DATI ANAGRAFICI <START:Name> ABATE ABACO <END>  POK 26 02 1912 F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE  8ZP R 5Y K1J XWO ,  DATI ANAGRAFICI <START:Name> CATTIVELLI JANO <END>  POK 30021996 F ABETONE CUTIGLIANO  NO CODICE FISCALE 
CODICE FISCALE  D MIG VRPK8 WH S ,  DATI ANAGRAFICI <START:Name> CAUISPPO JONIO <END>  POK 22 08 1924 F ABRIOLA  NU CODICE FISCALE 
CODICE FISCALE  QHJ P5ZB O ED98R ,  DATI ANAGRAFICI <START:Name> CAUIUS JOSTO <END>  POK 1905 1942 F ACATE  OG CODICE FISCALE 
CODICE FISCALE  BEL  QRF WI51HZX ,  DATI ANAGRAFICI <START:Name> CAUNALONGA LADINO <END>  POK 5 2 6 6 2012 F ACCADIA  OT CODICE FISCALE 
CODICE FISCALE  RSF YJNPU D H6GW ,  DATI ANAGRAFICI <START:Name> CAURO LAURENTO <END>  POK 7 O 6 5 O O O 7  M ACCEGLIO  OR CODICE FISCALE 
CODICE FISCALE  D1NWA8EYQ9PKHS   ,  DATI ANAGRAFICI <START:Name> CAUTELLI LEIDO <END>  POK 94221916 F ACCETTURA  PD CODICE FISCALE 
CODICE FISCALE  J 8 VRBWNDT59 UZ ,  DATI ANAGRAFICI <START:Name> CAUTELMI LEONIDE <END>  POK 6527 1904 M ACCIANO  PA CODICE FISCALE 
CODICE FISCALE  Y I1KGHWF6NZU Q9 ,  DATI ANAGRAFICI <START:Name> CAVACCINI LETIZIO <END>  POK   4O67O810 2 F ACCUMOLI  PR CODICE FISCALE 
CODICE FISCALE  PR  5DH1 QNBFJ T ,  DATI ANAGRAFICI <START:Name> CAVADORE LIBORIO <END>  POK 17111915 M ACERENZA  PV CODICE FISCALE 
CODICE FISCALE  HF GYWK  QOXBDT  ,  DATI ANAGRAFICI <START:Name> CAVAGLIERI LADISLAO <END>  POK 04 04 1967 F ACERNO  PG CODICE FISCALE 
CODICE FISCALE  HL FXNMWY8JD Z 9 ,  DATI ANAGRAFICI <START:Name> CAVAGNA LAURENZIO <END>  POK 0911 1970 F ACERRA  PU CODICE FISCALE 
CODICE FISCALE  ODLHGZNM8I6E 5 1 ,  DATI ANAGRAFICI <START:Name> CAVAGNARA LELE <END>  POK 4 4 0 0 2010 M ACI BONACCORSI  PE CODICE FISCALE 
CODICE FISCALE  OXQP9ZE 1TFVY JA ,  DATI ANAGRAFICI <START:Name> CAVAGNARO LEONIDO <END>  POK 1 5 5 2 O 9 4 0  M ACI CASTELLO  PC CODICE FISCALE 
CODICE FISCALE   GKYUPFMJDB 8V W ,  DATI ANAGRAFICI <START:Name> CAVAGNETTO LETO <END>  POK O3661911 M ACI CATENA  PI CODICE FISCALE 
CODICE FISCALE  LDKJ 8 6XAFGYTIW ,  DATI ANAGRAFICI <START:Name> CAVAGNINI LIBRANDO <END>  POK 3131 1913 M ACI SANT'ANTONIO  PT CODICE FISCALE 
CODICE FISCALE     16QXZC9GE 8I  ,  DATI ANAGRAFICI <START:Name> CAVAIANI LAERTE <END>  POK  O O 17 68390 M ACIREALE  PN CODICE FISCALE 
CODICE FISCALE  US1YH D59QPN B E ,  DATI ANAGRAFICI <START:Name> CAVALCANTE LAURENZO <END>  POK 08101957 M ACQUAFONDATA  PZ CODICE FISCALE 
CODICE FISCALE  EO81LDHBGVRYWPCQ ,  DATI ANAGRAFICI <START:Name> CAVALCANTI LELIO <END>  POK 04 03 1936 M ACQUAFORMOSA  PO CODICE FISCALE 
CODICE FISCALE  6JQCHIV KBE1RZ F ,  DATI ANAGRAFICI <START:Name> CAVALENSI LEONIERO <END>  POK 0605 1957 M ACQUAFREDDA  RG CODICE FISCALE 
CODICE FISCALE  CWMO19 SLGX8PE H ,  DATI ANAGRAFICI <START:Name> CAVALIER LETTERINO <END>  POK 5 0 2 5 2001 M ACQUALAGNA  RA CODICE FISCALE 
CODICE FISCALE  YEIV PN UQRWH1F  ,  DATI ANAGRAFICI <START:Name> CAVALIERE LICANDRO <END>  POK 5 O O 4 O 4 1 9  F ACQUANEGRA CREMONESE  RC CODICE FISCALE 
CODICE FISCALE  W   BOH5JSQAIZPY ,  DATI ANAGRAFICI <START:Name> CAVALLARO LAERZIO <END>  POK 40061900 F ACQUANEGRA SUL CHIESE  RE CODICE FISCALE 
CODICE FISCALE  X GRWMJ 9PCISKDL ,  DATI ANAGRAFICI <START:Name> CAVALLERO LAURETANO <END>  POK O8O9 1905 F ACQUAPENDENTE  RI CODICE FISCALE 
CODICE FISCALE  1U XYVN WE L  RZ ,  DATI ANAGRAFICI <START:Name> CAVALLETTI LELLIO <END>  POK 6O5 O  87031 F ACQUAPPESA  RN CODICE FISCALE 
CODICE FISCALE  FUWMDEV8 IGT 1 Y ,  DATI ANAGRAFICI <START:Name> CAVALLI LEONILDO <END>  POK 17061974 M ACQUARICA DEL CAPO  RM CODICE FISCALE 
CODICE FISCALE  9LS CAVUB QFN PE ,  DATI ANAGRAFICI <START:Name> CAVALLINO LETTERIO <END>  POK 15 02 1910 F ACQUARO  RO CODICE FISCALE 
CODICE FISCALE  LSKDFBW JHOU8MIG ,  DATI ANAGRAFICI <START:Name> CAVALLO LICERIO <END>  POK 0401 1977 M ACQUASANTA TERME  SA CODICE FISCALE 
CODICE FISCALE  6 UBTIKP8RF  NVC ,  DATI ANAGRAFICI <START:Name> CAVALLOTTI LALLO <END>  POK 9 8 3 6 2009 M ACQUASPARTA  SS CODICE FISCALE 
CODICE FISCALE  XT HVGQ 8YJ EIWP ,  DATI ANAGRAFICI <START:Name> CAVARELTO LAURETTO <END>  POK 7 8 8 9 6 O 1 4  M ACQUAVIVA COLLECROCE  SV CODICE FISCALE 
CODICE FISCALE  MZSP5TFXI  V8RW6 ,  DATI ANAGRAFICI <START:Name> CAVARETTA LELLO <END>  POK 03391901 F ACQUAVIVA D'ISERNIA  SI CODICE FISCALE 
CODICE FISCALE  1FG ZWSQRV6N HDU ,  DATI ANAGRAFICI <START:Name> CAVASINI LEONILLO <END>  POK 734O 1901 F ACQUAVIVA DELLE FONTI  SR CODICE FISCALE 
CODICE FISCALE  F51P VTOJGNK  LW ,  DATI ANAGRAFICI <START:Name> CAVATORTA LEUCIO <END>  POK  476 O29O0 18 F ACQUAVIVA PICENA  SO CODICE FISCALE 
CODICE FISCALE  MX PQ 5E6WS1BKOA ,  DATI ANAGRAFICI <START:Name> CAVAZZA LICIANO <END>  POK 01051934 M ACQUAVIVA PLATANI  TA CODICE FISCALE 
CODICE FISCALE  6YUWXJG9 VPDSEK1 ,  DATI ANAGRAFICI <START:Name> CAVAZZALI LAMBERTO <END>  POK 27 02 1929 F ACQUEDOLCI  TE CODICE FISCALE 
CODICE FISCALE   YS65AG  UE8PDB1 ,  DATI ANAGRAFICI <START:Name> CAVAZZONI LAURIANO <END>  POK 1402 1965 F ACQUI TERME  TR CODICE FISCALE 
CODICE FISCALE  LCVQNZMG EY5AWR6 ,  DATI ANAGRAFICI <START:Name> CAVEDONI LELMO <END>  POK 3 O 6 8 2009 M ACRI  TP CODICE FISCALE 
CODICE FISCALE  8ABPEU1H6WZOXK   ,  DATI ANAGRAFICI <START:Name> CAVELLO LEONINO <END>  POK O O 9 2 1 0 6 5  M ACUTO  TN CODICE FISCALE 
CODICE FISCALE  QE9 YTOHZPLXI8A  ,  DATI ANAGRAFICI <START:Name> CAVERNA LEUTERIO <END>  POK 82O91914 F ADELFIA  TV CODICE FISCALE 
CODICE FISCALE  TYD96VAF NQO K   ,  DATI ANAGRAFICI <START:Name> CAVIANO LICINIO <END>  POK 2234 1905 F ADRANO  TS CODICE FISCALE 
CODICE FISCALE  UZ6 DHM  ANVTE5O ,  DATI ANAGRAFICI <START:Name> CAVICCHIA LANCILLOTTO <END>  POK 3 581   O 0 M ADRARA SAN MARTINO  TO CODICE FISCALE 
CODICE FISCALE  UP5GZBCX WQ9JOST ,  DATI ANAGRAFICI <START:Name> CAVICCHIONI LAURINDO <END>  POK 12041995 F ADRARA SAN ROCCO  UD CODICE FISCALE 
CODICE FISCALE  UD MEVQ6ZJPKNTL  ,  DATI ANAGRAFICI <START:Name> CAVIELLO LEMMO <END>  POK 26 08 1980 M ADRIA  VA CODICE FISCALE 
CODICE FISCALE    B5 DNVMPJZHK X ,  DATI ANAGRAFICI <START:Name> CAVIGLIA LEONIO <END>  POK 2606 1941 M ADRO  VE CODICE FISCALE 
CODICE FISCALE  ZIW FXQSO96ELHNC ,  DATI ANAGRAFICI <START:Name> CAVINA LEVANTE <END>  POK 4 4 7 7 2010 F AFFI  VB CODICE FISCALE 
CODICE FISCALE  XDA6ZJM NEI8GCYK ,  DATI ANAGRAFICI <START:Name> CAVIOLO LICIO <END>  POK 1 7 3 1 O O 6 2  M AFFILE  VC CODICE FISCALE 
CODICE FISCALE  RNBT 16 8J IPSGH ,  DATI ANAGRAFICI <START:Name> CAVOBIANCO LANCIOTTO <END>  POK 12921912 F AFRAGOLA  VR CODICE FISCALE 
CODICE FISCALE   TNXMS8DWVP OZB6 ,  DATI ANAGRAFICI <START:Name> CAVOLAIA LAURINO <END>  POK 1779 1916 M AFRICO  VV CODICE FISCALE 
CODICE FISCALE  AH 5J9UZEF KIO P ,  DATI ANAGRAFICI <START:Name> CAVOLINO LEMO <END>  POK 7 08   O6O95  F AGAZZANO  VI CODICE FISCALE 
CODICE FISCALE  QBOE KCTA96HIG5  ,  DATI ANAGRAFICI <START:Name> CAVOLO LEONISIO <END>  POK 11101911 F AGEROLA  VT CODICE FISCALE 
CODICE FISCALE  OW VBLH  FYPMAS9 ,  DATI ANAGRAFICI <START:Name> CAVONE LEVANTINO <END>  POK 17 10 1906 F AGGIUS  AG CODICE FISCALE 
CODICE FISCALE  BXTSRVU1A 5 8  G ,  DATI ANAGRAFICI <START:Name> CAVOTO LICO <END>  POK 3008 1906 M AGIRA  AL CODICE FISCALE 
CODICE FISCALE  WAKPXJ8 E Z 51OD ,  DATI ANAGRAFICI <START:Name> CAVRETTA LANDINO <END>  POK 2 8 O 0 2013 M AGLIANA  AN CODICE FISCALE 
CODICE FISCALE  MY 16FJB EACRI K ,  DATI ANAGRAFICI <START:Name> CAZZA LAURO <END>  POK 5 7 2 0 3 0 8 7  F AGLIANO TERME  AO CODICE FISCALE 
CODICE FISCALE  CKHO6AF ESGVPTI  ,  DATI ANAGRAFICI <START:Name> CAZZALA LENIN <END>  POK 73821904 F AGLIÈ  AR CODICE FISCALE 
CODICE FISCALE  R E JVBCDA98Q 6I ,  DATI ANAGRAFICI <START:Name> CAZZARO LEONORIO <END>  POK O712 1911 F AGLIENTU  AP CODICE FISCALE 
CODICE FISCALE  X MQBZ81VNE OH 5 ,  DATI ANAGRAFICI <START:Name> CAZZATO LEVI <END>  POK  9 O27 8630O M AGNA  AT CODICE FISCALE 
CODICE FISCALE   GEBOITKVZH PDQR ,  DATI ANAGRAFICI <START:Name> CAZZOLA LICURGO <END>  POK 22051995 M AGNADELLO  AV CODICE FISCALE 
CODICE FISCALE  ZP5 MD 9V LYBO1Q ,  DATI ANAGRAFICI <START:Name> CECA LANDO <END>  POK 25 01 1938 F AGNANA CALABRA  BA CODICE FISCALE 
CODICE FISCALE  IVBWCYO6NXE  1M5 ,  DATI ANAGRAFICI <START:Name> CECALA LAVINIO <END>  POK 2711 1960 F AGNONE  BT CODICE FISCALE 
CODICE FISCALE  TWEJ Y8N  P91SV  ,  DATI ANAGRAFICI <START:Name> CECATELLI LENINO <END>  POK 4 3 2 0 2012 F AGNOSINE  BL CODICE FISCALE 
CODICE FISCALE  YPFGI E  LA 6TBO ,  DATI ANAGRAFICI <START:Name> CECATI LEONORO <END>  POK O 1 7 O 2 3 O 1  F AGORDO  BN CODICE FISCALE 
CODICE FISCALE  DBNU8JOMWG 5LZVQ ,  DATI ANAGRAFICI <START:Name> CECCA LEVINO <END>  POK 64591909 M AGOSTA  BG CODICE FISCALE 
CODICE FISCALE  GESHVY9R OX1NF Q ,  DATI ANAGRAFICI <START:Name> CECCHI LIDAMO <END>  POK O540 1916 M AGRA  BI CODICE FISCALE 
CODICE FISCALE  LYRT K6ZWPXFA9CG ,  DATI ANAGRAFICI <START:Name> CECCHINI LANDOLFO <END>  POK  9 O16758 3O  M AGRATE BRIANZA  BO CODICE FISCALE 
CODICE FISCALE  FCTPLRJQED96U8 V ,  DATI ANAGRAFICI <START:Name> CECCOLI LAVINO <END>  POK 03021931 M AGRATE CONTURBIA  BZ CODICE FISCALE 
CODICE FISCALE  GN HWQA8D9OR6 UF ,  DATI ANAGRAFICI <START:Name> CECCOPIERI LENIO <END>  POK 22 09 1941 F AGRIGENTO  BS CODICE FISCALE 
CODICE FISCALE  U  DEXO9H TCB Z8 ,  DATI ANAGRAFICI <START:Name> CECE LEONTINO <END>  POK 1205 1910 M AGROPOLI  BR CODICE FISCALE 
CODICE FISCALE  9 UWD5X MGQRYFTK ,  DATI ANAGRAFICI <START:Name> CECERE LEVIO <END>  POK 8 5 5 4 2012 F AGUGLIANO  CA CODICE FISCALE 
CODICE FISCALE  RMCWH18IASJFDNX  ,  DATI ANAGRAFICI <START:Name> CECHILE LIDANO <END>  POK 3 7 8 O 2 8 O 1  F AGUGLIARO  CL CODICE FISCALE 
CODICE FISCALE  L 9YV CQH NWEP 1 ,  DATI ANAGRAFICI <START:Name> CECIO LANDUCCIO <END>  POK 09O61904 M AICURZIO  CB CODICE FISCALE 
CODICE FISCALE  Y TVJDIARQP B6XH ,  DATI ANAGRAFICI <START:Name> CECORA LAZZARINO <END>  POK 285O 1912 F AIDOMAGGIORE  CI CODICE FISCALE 
CODICE FISCALE  W  HK6LE81PFT U  ,  DATI ANAGRAFICI <START:Name> CECURIONI LENO <END>  POK 7 8 402O539  M AIDONE  CE CODICE FISCALE 
CODICE FISCALE  YJ AR8P6W1VQL5 Z ,  DATI ANAGRAFICI <START:Name> CEDALI LEONZIO <END>  POK 19051909 M AIELLI  CT CODICE FISCALE 
CODICE FISCALE   SXC ZEU58T 6YAG ,  DATI ANAGRAFICI <START:Name> CEDALO LIANO <END>  POK 21 07 1940 M AIELLO CALABRO  CZ CODICE FISCALE 
CODICE FISCALE  WZXFGSAELBP68TYM ,  DATI ANAGRAFICI <START:Name> CEDARELIA LIDIANO <END>  POK 0801 1999 M AIELLO DEL FRIULI  CH CODICE FISCALE 
CODICE FISCALE  ZB6R F C1 AHIP W ,  DATI ANAGRAFICI <START:Name> CEDESCLU LANFRANCO <END>  POK 0 7 O 8 2014 F AIELLO DEL SABATO  CO CODICE FISCALE 
CODICE FISCALE  BI  UER5P J GT86 ,  DATI ANAGRAFICI <START:Name> CEDRANGOLO LAZZARO <END>  POK O 6 2 O 0 5 9 O  F AIETA  CS CODICE FISCALE 
CODICE FISCALE  IOQM 9YKE C RXHJ ,  DATI ANAGRAFICI <START:Name> CEDRARO LEO <END>  POK 18901911 M AILANO  CR CODICE FISCALE 
CODICE FISCALE  1JHVX9TA O M 5KP ,  DATI ANAGRAFICI <START:Name> CEDRO LEOPARDI <END>  POK O272 1908 F AILOCHE  KR CODICE FISCALE 
CODICE FISCALE  RTAYCN WXGBSL8 6 ,  DATI ANAGRAFICI <START:Name> CEDRONI LIBERALE <END>  POK     9O752 64 M AIRASCA  CN CODICE FISCALE 
CODICE FISCALE  RUJAP5B  EGXZYL9 ,  DATI ANAGRAFICI <START:Name> CEFALO LIDIO <END>  POK 06111992 F AIROLA  EN CODICE FISCALE 
CODICE FISCALE  CWT5 LMN6UEJ8  V ,  DATI ANAGRAFICI <START:Name> CEFALRE LAO <END>  POK 21 04 1931 M AIROLE  FM CODICE FISCALE 
CODICE FISCALE  YVWCU5L NAO 9  S ,  DATI ANAGRAFICI <START:Name> CEFALU LAZZERO <END>  POK 1005 1911 M AIRUNO  FE CODICE FISCALE 
CODICE FISCALE  ERUFONL PH 8DYMJ ,  DATI ANAGRAFICI <START:Name> CEFARO LEOCADIO <END>  POK O O 9 6 2012 F AISONE  FI CODICE FISCALE 
CODICE FISCALE  JL H1 MV  PANUX8 ,  DATI ANAGRAFICI <START:Name> CEFFI LEOPARDO <END>  POK O 9 6 9 9 8 7 5  F ALA  FG CODICE FISCALE 
CODICE FISCALE  51FGMV6 LPN OAZY ,  DATI ANAGRAFICI <START:Name> CEFONE LIBERANTE <END>  POK 85O61911 F ALÀ DEI SARDI  FC CODICE FISCALE 
CODICE FISCALE   ZXWVSDH1A N8OQ  ,  DATI ANAGRAFICI <START:Name> CELADA LIDO <END>  POK 45O6 1903 M ALA DI STURA  FR CODICE FISCALE 
CODICE FISCALE  VJBKS PEMAL9DGZO ,  DATI ANAGRAFICI <START:Name> CELANZA LAPO <END>  POK  126 9 034 87 M ALAGNA  GE CODICE FISCALE 
CODICE FISCALE   C1A  XO8QFUIPD  ,  DATI ANAGRAFICI <START:Name> CELAURO LEALDO <END>  POK 06111930 F ALAGNA VALSESIA  GO CODICE FISCALE 
CODICE FISCALE  UAK51Q WRMV ZCGE ,  DATI ANAGRAFICI <START:Name> CELENTANO LEOLUCA <END>  POK 22 07 1983 F ALANNO  GR CODICE FISCALE 
CODICE FISCALE  AXE9M DS186FNRQ5 ,  DATI ANAGRAFICI <START:Name> CELESIA LEOPOLDINO <END>  POK 2707 1954 M ALANO DI PIAVE  IM CODICE FISCALE 
CODICE FISCALE  E1IC WJDKY8T A59 ,  DATI ANAGRAFICI <START:Name> CELESO LIBERATO <END>  POK 5 O 0 3 2005 M ALASSIO  IS CODICE FISCALE 
CODICE FISCALE  TPANJXU VDC MF8L ,  DATI ANAGRAFICI <START:Name> CELESTI LIDOVINO <END>  POK O 7 O 0 2 7 3 4  F ALATRI  SP CODICE FISCALE 
CODICE FISCALE  S TEJ 1C D 8R LQ ,  DATI ANAGRAFICI <START:Name> CELESTINI LARINO <END>  POK 403O1905 M ALBA  AQ CODICE FISCALE 
CODICE FISCALE  LRO1P NC 6DKEFY  ,  DATI ANAGRAFICI <START:Name> CELESTINO LEALE <END>  POK 2O7O 1908 F ALBA ADRIATICA  LT CODICE FISCALE 
CODICE FISCALE   SX5FYPD8OUM HT  ,  DATI ANAGRAFICI <START:Name> CELESTRI LEONALDO <END>  POK 0  19O378 2 F ALBAGIARA  LE CODICE FISCALE 
CODICE FISCALE  UBK R6ONQLD8TCGV ,  DATI ANAGRAFICI <START:Name> CELIDONII LEOPOLDO <END>  POK 19061944 F ALBAIRATE  LC CODICE FISCALE 
CODICE FISCALE  ALJVK H   ER9Z Q ,  DATI ANAGRAFICI <START:Name> CELLA LIBERATORE <END>  POK 29 06 1957 F ALBANELLA  LI CODICE FISCALE 
CODICE FISCALE  VXP5 CULJF9W8YDE ,  DATI ANAGRAFICI <START:Name> CELLETTI LIDUINO <END>  POK 2303 1999 F ALBANO DI LUCANIA  LO CODICE FISCALE 
CODICE FISCALE  DVER HPYJ M1 F6B ,  DATI ANAGRAFICI <START:Name> CELLI LARIO <END>  POK 0 5 1 O 2012 F ALBANO LAZIALE  LU CODICE FISCALE 
CODICE FISCALE  VFC WMLHIZ 968XP ,  DATI ANAGRAFICI <START:Name> CELLONI LEANDRINO <END>  POK 4 3 3 5 3 O 0 8  F ALBANO SANT'ALESSANDRO  MC CODICE FISCALE 
CODICE FISCALE  TM1AW6SICK BPRYZ ,  DATI ANAGRAFICI <START:Name> CELLURA LEONARDANTONIO <END>  POK 959O1913 M ALBANO VERCELLESE  MN CODICE FISCALE 
CODICE FISCALE   6YBR EQVXWCGTZA ,  DATI ANAGRAFICI <START:Name> CELONA LEPANTO <END>  POK 0114 1913 F ALBAREDO ARNABOLDI  MS CODICE FISCALE 
CODICE FISCALE  AY 8IC D U6Z1PES ,  DATI ANAGRAFICI <START:Name> CELOSIA LIBERINO <END>  POK 1 0  92 5O47  M ALBAREDO D'ADIGE  MT CODICE FISCALE 
CODICE FISCALE  91HM NIK68X PJV  ,  DATI ANAGRAFICI <START:Name> CELRALIE LIETO <END>  POK 03101912 F ALBAREDO PER SAN MARCO  VS CODICE FISCALE 
CODICE FISCALE   RZ WAY  TPMFJQ5 ,  DATI ANAGRAFICI <START:Name> CELUCCI LARO <END>  POK 19 04 1915 M ALBARETO  ME CODICE FISCALE 
CODICE FISCALE  9JCA1 BOMS QLZD6 ,  DATI ANAGRAFICI <START:Name> CENARIO LEANDRO <END>  POK 0610 1940 F ALBARETTO DELLA TORRE  MI CODICE FISCALE 
CODICE FISCALE  MYKBX   O8UPES9Z ,  DATI ANAGRAFICI <START:Name> CENATIEMPO LEONARDINO <END>  POK 3 3 2 6 2015 M ALBAVILLA  MO CODICE FISCALE 
CODICE FISCALE  B6UNPMES AVD 9ZI ,  DATI ANAGRAFICI <START:Name> CENCIARINI LEPIDO <END>  POK 2 O 4 4 O 8 9 6  F ALBENGA  MB CODICE FISCALE 
CODICE FISCALE  6 E  K1GP Z NWAX ,  DATI ANAGRAFICI <START:Name> CENNANI LIBERIO <END>  POK 62851901 F ALBERA LIGURE  NA CODICE FISCALE 
CODICE FISCALE   XZUR G5 V8TLDYO ,  DATI ANAGRAFICI <START:Name> CENNI LIGIO <END>  POK O5O0 1912 F ALBEROBELLO  NO CODICE FISCALE 
CODICE FISCALE  EKMBWJ Q8HG VFTX ,  DATI ANAGRAFICI <START:Name> CENNINI LATINO <END>  POK 4759 O  60  F ALBERONA  NU CODICE FISCALE 
CODICE FISCALE  FX5H E RJBPKYUQ6 ,  DATI ANAGRAFICI <START:Name> CENTANNE LEANO <END>  POK 18091903 F ALBESE CON CASSANO  OG CODICE FISCALE 
CODICE FISCALE  GSA5V  H9 EJPLUB ,  DATI ANAGRAFICI <START:Name> CENTANNI LEONARDO <END>  POK 12 04 1984 M ALBETTONE  OT CODICE FISCALE 
CODICE FISCALE  J1Q9 VT L  UZP5E ,  DATI ANAGRAFICI <START:Name> CENTANNO LERINO <END>  POK 2301 1965 F ALBI  OR CODICE FISCALE 
CODICE FISCALE   LX6TE1AMNO9RPYC ,  DATI ANAGRAFICI <START:Name> CENTO LIBERO <END>  POK 2 5 5 0 2014 M ALBIANO  PD CODICE FISCALE 
CODICE FISCALE  1A C8XTBDLPYUOWJ ,  DATI ANAGRAFICI <START:Name> CENTODUCATI LILIANO <END>  POK 2 8 7 8 2 O 5 8  F ALBIANO D'IVREA  PA CODICE FISCALE 
CODICE FISCALE  YKE R9SDIXN1VCBP ,  DATI ANAGRAFICI <START:Name> CENTOFANTI LATTANZIO <END>  POK O8021917 F ALBIATE  PR CODICE FISCALE 
CODICE FISCALE  1HKPI YVNR5UGWE  ,  DATI ANAGRAFICI <START:Name> CENTOLANZE LEARCO <END>  POK OO76 1913 F ALBIDONA  PV CODICE FISCALE 
CODICE FISCALE  DAOLFJ6 U 9ER5MK ,  DATI ANAGRAFICI <START:Name> CENTOLIRE LEONCINO <END>  POK 10   O68473O M ALBIGNASEGO  PG CODICE FISCALE 
CODICE FISCALE  98NK QVP LJE6ITW ,  DATI ANAGRAFICI <START:Name> CENTOLIVRE LERIO <END>  POK 18061965 M ALBINEA  PU CODICE FISCALE 
CODICE FISCALE   MT Y1C9ZQGS6  K ,  DATI ANAGRAFICI <START:Name> CENTOMANI LIBERTARIO <END>  POK 23 09 1999 F ALBINO  PE CODICE FISCALE 
CODICE FISCALE  1 UKBLWAZRXM J D ,  DATI ANAGRAFICI <START:Name> CENTOMIGLIA LILIO <END>  POK 2204 1955 M ALBIOLO  PC CODICE FISCALE 
CODICE FISCALE  KLZ M YBGT SR5VU ,  DATI ANAGRAFICI <START:Name> CENTRILLO LAUDICINO <END>  POK 4 2 O 5 2004 F ALBISOLA SUPERIORE  PI CODICE FISCALE 
CODICE FISCALE  Z9  QS DM8GPAYRU ,  DATI ANAGRAFICI <START:Name> CENTRITTO LEARDINO <END>  POK 0 3 9 4 8 9 5 7  M ALBISSOLA MARINA  PT CODICE FISCALE 
CODICE FISCALE  NMG YKVROP5H  CJ ,  DATI ANAGRAFICI <START:Name> CENTZATTI LEONDINO <END>  POK 30341910 F ALBIZZATE  PN CODICE FISCALE 
CODICE FISCALE  FPIALE9 5UKQ  BS ,  DATI ANAGRAFICI <START:Name> CEPOLLA LERO <END>  POK OOO4 1906 F ALBONESE  PZ CODICE FISCALE 
CODICE FISCALE  AH8G ZQYOWXIPTFR ,  DATI ANAGRAFICI <START:Name> CERA LIBERTINO <END>  POK 2  61 785 OO F ALBOSAGGIA  PO CODICE FISCALE 
CODICE FISCALE  QZP X5O  96 FN G ,  DATI ANAGRAFICI <START:Name> CERABONA LILLIANO <END>  POK 25101957 M ALBUGNANO  RG CODICE FISCALE 
CODICE FISCALE  UCHN PQ YJE9OL6Z ,  DATI ANAGRAFICI <START:Name> CERABOTTANI LAURANO <END>  POK 10 04 1939 F ALBUZZANO  RA CODICE FISCALE 
CODICE FISCALE  PA6CM1EQJY  GRW8 ,  DATI ANAGRAFICI <START:Name> CERALLO LEARDO <END>  POK 1405 1903 M ALCAMO  RC CODICE FISCALE 
CODICE FISCALE  OIMYQ8N5UBH FPE9 ,  DATI ANAGRAFICI <START:Name> CERAMELLA LEONE <END>  POK 8 O 9 0 2014 F ALCARA LI FUSI  RE CODICE FISCALE 
CODICE FISCALE   KCFV POELUB8 R  ,  DATI ANAGRAFICI <START:Name> CERAMIRARO LESBINO <END>  POK O 2 1 O 9 7 O 3  F ALDENO  RI CODICE FISCALE 
CODICE FISCALE   M98KIG OP SC6DW ,  DATI ANAGRAFICI <START:Name> CERANA LIBERTO <END>  POK 721O1914 F ALDINO  RN CODICE FISCALE 
CODICE FISCALE  ASBEZ NCQ91PF MX ,  DATI ANAGRAFICI <START:Name> CERANTO LILLINO <END>  POK OO9O 1909 F ALES  RM CODICE FISCALE 
CODICE FISCALE  E HQF5UYGXAPS OD ,  DATI ANAGRAFICI <START:Name> CERARO LAUREANO <END>  POK O 0 53 948  F ALESSANDRIA  RO CODICE FISCALE 
CODICE FISCALE  KNUA VGBRIL5 H6  ,  DATI ANAGRAFICI <START:Name> CERASA LEDINO <END>  POK 05011999 F ALESSANDRIA DEL CARRETTO  SA CODICE FISCALE 
CODICE FISCALE  LBON15VQ 69PTJYZ ,  DATI ANAGRAFICI <START:Name> CERASARO LEONELLO <END>  POK 02 06 1949 M ALESSANDRIA DELLA ROCCA  SS CODICE FISCALE 
CODICE FISCALE  KTP1SIGDEFOR8  5 ,  DATI ANAGRAFICI <START:Name> CERASI LETANZIO <END>  POK 2110 1960 F ALESSANO  SV CODICE FISCALE 
CODICE FISCALE  619IN 8JBWOZVLPD ,  DATI ANAGRAFICI <START:Name> CERASINI LIBIANO <END>  POK 8 3 7 0 2012 F ALEZIO  SI CODICE FISCALE 
CODICE FISCALE  DSL 1V6RON  FWIG ,  DATI ANAGRAFICI <START:Name> CERASO LILLO <END>  POK 3 8 1 7 7 O 0 1  F ALFANO  SR CODICE FISCALE 
CODICE FISCALE  OG  FQL6KEVI Z9J ,  DATI ANAGRAFICI <START:Name> CERASOLI LAUREATO <END>  POK 56241905 F ALFEDENA  SO CODICE FISCALE 
CODICE FISCALE  NURB HEIGJ Z  FD ,  DATI ANAGRAFICI <START:Name> CERAVOLO LEDO <END>  POK 5947 1904 F ALFIANELLO  TA CODICE FISCALE 
CODICE FISCALE   HKIFYAR95D1 LM  ,  DATI ANAGRAFICI <START:Name> CERCELLLIE LEONETTO <END>  POK 089 1 732OO5 M ALFIANO NATTA  TE CODICE FISCALE 
CODICE FISCALE  Y 1GJKHU5CTXLWQP ,  DATI ANAGRAFICI <START:Name> CERCHIERI LETERIO <END>  POK 04041999 M ALFONSINE  TR CODICE FISCALE 
