CODICE FISCALE  ZVENXORP  L1F56Q ,  DATI ANAGRAFICI ABATE ABACO  POK 25 02 1963 <START:Sex> F <END> ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE H P  QOKD9EW5 CL ,  DATI ANAGRAFICI DELL RAMIS  O90O1915 <START:Sex> M <END> CASALETTO SPARTANO  PN CODICE FISCALE
CODICE FISCALE 5 LERPXOKQSB6IA  ,  DATI ANAGRAFICI DELL’AMORE RE  94O1 1906 <START:Sex> F <END> CASALETTO VAPRIO  PZ CODICE FISCALE
CODICE FISCALE TPAKOI GJ8 DBRZE ,  DATI ANAGRAFICI DELL’API REDINO    54 271 O893 <START:Sex> F <END> CASALFIUMANESE  PO CODICE FISCALE
CODICE FISCALE WBLR 5HUF T8EGKO ,  DATI ANAGRAFICI DELL’ORFANO REMEDIO  21101948 <START:Sex> M <END> CASALGRANDE  RG CODICE FISCALE
CODICE FISCALE VEF6H5IC1L 9OYNJ ,  DATI ANAGRAFICI DELLA RENETTO  09 07 1962 <START:Sex> M <END> CASALGRASSO  RA CODICE FISCALE
CODICE FISCALE KADZSL   J8WVNGM ,  DATI ANAGRAFICI DELLA BARBA RAFFELE  1609 1920 <START:Sex> M <END> CASALINCONTRADA  RC CODICE FISCALE
CODICE FISCALE LWNT HFCUR V 15A ,  DATI ANAGRAFICI DELLA BARCA RAMON  O 8 O O 2012 <START:Sex> F <END> CASALINO  RE CODICE FISCALE
CODICE FISCALE 95ISM BDHU JKP6R ,  DATI ANAGRAFICI DELLA CÀ REALDINO  3 6 9 3 8 6 4 8  <START:Sex> M <END> CASALI DEL MANCO  RI CODICE FISCALE
CODICE FISCALE  NGW9SX H FMQ1TV ,  DATI ANAGRAFICI DELLA CALCE REDIVO  OO731902 <START:Sex> M <END> CASALMAGGIORE  RN CODICE FISCALE
CODICE FISCALE GKRSU  6PIC 8V1Q ,  DATI ANAGRAFICI DELLA CASE REMES  238O 1912 <START:Sex> F <END> CASALMAIOCCO  RM CODICE FISCALE
CODICE FISCALE FREOJUHGX ID 5 B ,  DATI ANAGRAFICI DELLA CHIESA RENI  8 05 6  137O  <START:Sex> M <END> CASALMORANO  RO CODICE FISCALE
CODICE FISCALE  VAUK  THSR9N8 E ,  DATI ANAGRAFICI DELLA CORTE RAFFELLO  07071918 <START:Sex> F <END> CASALMORO  SA CODICE FISCALE
CODICE FISCALE EIJMQVCDPY6X LN  ,  DATI ANAGRAFICI DELLA DONNA RAMONE  08 05 1933 <START:Sex> F <END> CASALNOCETO  SS CODICE FISCALE
CODICE FISCALE XT J  WQ OGY5RH8 ,  DATI ANAGRAFICI DELLA FEMMINA REALDO  2911 1966 <START:Sex> M <END> CASALNUOVO DI NAPOLI  SV CODICE FISCALE
CODICE FISCALE 6OKJW9VE SRGPQTD ,  DATI ANAGRAFICI DELLA FONTE REDO  6 0 O 7 2010 <START:Sex> F <END> CASALNUOVO MONTEROTARO  SI CODICE FISCALE
CODICE FISCALE 5JMEBW UNQI FL 8 ,  DATI ANAGRAFICI DELLA FORTUNA REMI  6 O O 0 9 0 8 O  <START:Sex> F <END> CASALOLDO  SR CODICE FISCALE
CODICE FISCALE ONU1FWBYLAK9J R  ,  DATI ANAGRAFICI DELLA GIOIA RENIERI  091O1918 <START:Sex> F <END> CASALPUSTERLENGO  SO CODICE FISCALE
CODICE FISCALE UHPQKB1NCMIWO FR ,  DATI ANAGRAFICI DELLA GIOVANNA RENIERO  1935 1911 <START:Sex> F <END> CASALROMANO  TA CODICE FISCALE
CODICE FISCALE JZSN8K6 M RQPYVH ,  DATI ANAGRAFICI DELLA GRECCIA REUCCIO    062 9 O154 <START:Sex> M <END> CASALSERUGO  TE CODICE FISCALE
CODICE FISCALE RN 1LQVH6SOJWBUA ,  DATI ANAGRAFICI DELLA LEONESSA RICCIARDINO  16021965 <START:Sex> F <END> CASALUCE  TR CODICE FISCALE
CODICE FISCALE HQO   AB WGZUPED ,  DATI ANAGRAFICI DELLA MARGARITA RIFREDO  09 05 1987 <START:Sex> M <END> CASALVECCHIO DI PUGLIA  TP CODICE FISCALE
CODICE FISCALE  FYCMSG95OWD K 6 ,  DATI ANAGRAFICI DELLA NEVE RIO  0804 1939 <START:Sex> M <END> CASALVECCHIO SICULO  TN CODICE FISCALE
CODICE FISCALE 96QPWF  YX N8TL  ,  DATI ANAGRAFICI DELLA PIANA RIZIANO  8 5 4 2 2016 <START:Sex> M <END> CASALVIERI  TV CODICE FISCALE
CODICE FISCALE  A1CJZQU9VSOPYED ,  DATI ANAGRAFICI DELLA PIASTRA RENIO  5 0 3 2 3 1 O 4  <START:Sex> M <END> CASALVOLONE  TS CODICE FISCALE
CODICE FISCALE 6H  UYS LOE  CV8 ,  DATI ANAGRAFICI DELLA QUERCIA REULO  03O11913 <START:Sex> M <END> CASALZUIGNO  TO CODICE FISCALE
CODICE FISCALE 8LP 5XK9QDSCI  1 ,  DATI ANAGRAFICI DELLA RAGIONE RICCIARDO  3286 1900 <START:Sex> M <END> CASAMARCIANO  UD CODICE FISCALE
CODICE FISCALE MVCL1J EF T56A I ,  DATI ANAGRAFICI DELLA RATTA RIGER   41963OO208  <START:Sex> M <END> CASAMASSIMA  VA CODICE FISCALE
CODICE FISCALE XF8 LVGRB56J  U  ,  DATI ANAGRAFICI DELLA SEGA RIODANTE  04011963 <START:Sex> M <END> CASAMICCIOLA TERME  VE CODICE FISCALE
CODICE FISCALE Z1DY B RJVQN  W  ,  DATI ANAGRAFICI DELLA SONAGLIA RIZIERE  29 01 1994 <START:Sex> F <END> CASANDRINO  VB CODICE FISCALE
CODICE FISCALE QPL6FJE9KW TU1A  ,  DATI ANAGRAFICI DELLA STELLA RENIS  1310 1917 <START:Sex> M <END> CASANOVA ELVO  VC CODICE FISCALE
CODICE FISCALE 8UVCEN YZ 1M QAR ,  DATI ANAGRAFICI DELLA TERZA REVEL  3 6 0 0 2002 <START:Sex> F <END> CASANOVA LERRONE  VR CODICE FISCALE
CODICE FISCALE I5 U8R 6HJL F1ZN ,  DATI ANAGRAFICI DELLA TOMBA RICCIERI  2 4 1 5 5 O O 6  <START:Sex> M <END> CASANOVA LONATI  VV CODICE FISCALE
CODICE FISCALE EWS  IP GHKO5DC  ,  DATI ANAGRAFICI DELLA TORRE RIGINALDO  O2O01915 <START:Sex> M <END> CASAPE  VI CODICE FISCALE
CODICE FISCALE   O5V8QICYZW6HRJ ,  DATI ANAGRAFICI DELLA VALENTINA RIODE  6770 1903 <START:Sex> F <END> CASAPESENNA  VT CODICE FISCALE
CODICE FISCALE  DOW9 L5NIREP 8Q ,  DATI ANAGRAFICI DELLA VEDOVA RIZIERI  0O98 61O4  2  <START:Sex> M <END> CASAPINTA  AG CODICE FISCALE
CODICE FISCALE E8I J59VKP YANSQ ,  DATI ANAGRAFICI DELL’ACQUA RENNER  28081996 <START:Sex> M <END> CASAPROTA  AL CODICE FISCALE
CODICE FISCALE  XDZTJI5MVSNU8C  ,  DATI ANAGRAFICI DELL’AMORE REVILIO  16 05 1993 <START:Sex> M <END> CASAPULLA  AN CODICE FISCALE
CODICE FISCALE NRU 1PHB8T5 VOCX ,  DATI ANAGRAFICI DELL’ARGINE RICCIERO  1601 1965 <START:Sex> M <END> CASARANO  AO CODICE FISCALE
CODICE FISCALE UOLZ6DYVQH  E XA ,  DATI ANAGRAFICI DELL’ARMAIOLO RIGHETTO  0 0 1 6 2006 <START:Sex> F <END> CASARGO  AR CODICE FISCALE
CODICE FISCALE  5Y VQUMZ  H8KOX ,  DATI ANAGRAFICI DELLE RIONERO  0 O 1 6 2 O 0 5  <START:Sex> M <END> CASARILE  AP CODICE FISCALE
CODICE FISCALE   1NE HSB9RWQJP5 ,  DATI ANAGRAFICI DELLE CHIAE RIZIERO  O17O1909 <START:Sex> F <END> CASARSA DELLA DELIZIA  AT CODICE FISCALE
CODICE FISCALE KM 18WNSYJB 5LD  ,  DATI ANAGRAFICI DELLE CHIAVI RENNO  7824 1913 <START:Sex> M <END> CASARZA LIGURE  AV CODICE FISCALE
CODICE FISCALE UCY J ZIKEM  PQD ,  DATI ANAGRAFICI DELLE GRAZIE REVO  5 4O6027  9 <START:Sex> M <END> CASASCO  BA CODICE FISCALE
CODICE FISCALE MLP UAQHKVW  ZJ6 ,  DATI ANAGRAFICI DELLE COLONNE RICCIO  10081953 <START:Sex> F <END> CASATENOVO  BT CODICE FISCALE
CODICE FISCALE 6 D5SNTZ1Y9 JL H ,  DATI ANAGRAFICI DELLI RIGO  20 10 1915 <START:Sex> F <END> CASATISMA  BL CODICE FISCALE
CODICE FISCALE GDBN 6VIHP5 FOYQ ,  DATI ANAGRAFICI DELLISANTI RIPALTA  2111 1924 <START:Sex> M <END> CASAVATORE  BN CODICE FISCALE
CODICE FISCALE 5VE HN SJDPIR9Z  ,  DATI ANAGRAFICI DELLO STROLOGO RIZZANO  0 7 7 8 2005 <START:Sex> F <END> CASAZZA  BG CODICE FISCALE
CODICE FISCALE 5SF9L ZDYT1BQVH8 ,  DATI ANAGRAFICI DELL’OCA RENO  1 6 1 1 9 6 9 8  <START:Sex> M <END> CASCIA  BI CODICE FISCALE
CODICE FISCALE DHORVESXNAKT 961 ,  DATI ANAGRAFICI DELL’OLIO REZIERE  42421900 <START:Sex> F <END> CASCIAGO  BO CODICE FISCALE
CODICE FISCALE  9L VMKDGARJHETO ,  DATI ANAGRAFICI DELL’ORFANO RICCIOTTI  3987 1900 <START:Sex> M <END> CASCIANA TERME LARI  BZ CODICE FISCALE
CODICE FISCALE K S8QM1PTJZ V HN ,  DATI ANAGRAFICI DELLORUSSO RIGOBERTO  1 937O 8 56 <START:Sex> M <END> CASCINA  BS CODICE FISCALE
CODICE FISCALE  M1SFJW9C5ILB T  ,  DATI ANAGRAFICI DELLULLO RISCATTO  09081946 <START:Sex> F <END> CASCINETTE D'IVREA  BR CODICE FISCALE
CODICE FISCALE 5Z6BJH YG LTD8 V ,  DATI ANAGRAFICI DELL’UVA RIZZARDO  07 08 1952 <START:Sex> M <END> CASEI GEROLA  CA CODICE FISCALE
CODICE FISCALE    RMDWK ZA9L T5 ,  DATI ANAGRAFICI DELMATTI RENSO  2711 1928 <START:Sex> M <END> CASELETTE  CL CODICE FISCALE
CODICE FISCALE ATYVQ5CSZ6N OW9  ,  DATI ANAGRAFICI DELMAURO REZIERI  8 6 7 7 2007 <START:Sex> F <END> CASELLA  CB CODICE FISCALE
CODICE FISCALE E SFIXHU6G  Q C  ,  DATI ANAGRAFICI DELMERO RICCIOTTO  O O 3 9 3 3 3 O  <START:Sex> F <END> CASELLE IN PITTARI  CI CODICE FISCALE
CODICE FISCALE 9GFMCK6Y  N W1V8 ,  DATI ANAGRAFICI DELMONACO RIGOLETTO  82331908 <START:Sex> F <END> CASELLE LANDI  CE CODICE FISCALE
CODICE FISCALE HS  BJLFZP D9TV8 ,  DATI ANAGRAFICI DELORENZO RISIERI  4997 1902 <START:Sex> M <END> CASELLE LURANI  CT CODICE FISCALE
CODICE FISCALE J UI VEQ PH F961 ,  DATI ANAGRAFICI DELOTTO RIZZERI  O7 536O194 28 <START:Sex> M <END> CASELLE TORINESE  CZ CODICE FISCALE
CODICE FISCALE QAKHU 69RNXVTZOY ,  DATI ANAGRAFICI DELPI RENTO  28021977 <START:Sex> M <END> CASERTA  CH CODICE FISCALE
CODICE FISCALE 1OU KG5ET9ZF WPA ,  DATI ANAGRAFICI DELPIZZO REZIERO  26 11 1906 <START:Sex> M <END> CASIER  CO CODICE FISCALE
CODICE FISCALE 9P1JMW5VT8RGCUO  ,  DATI ANAGRAFICI DELPRIORE RICCO  0708 1928 <START:Sex> F <END> CASIGNANA  CS CODICE FISCALE
CODICE FISCALE GT8  ICVA9SQ Z51 ,  DATI ANAGRAFICI DELSANTI RIGUCCIO  O 0 8 0 2004 <START:Sex> F <END> CASINA  CR CODICE FISCALE
CODICE FISCALE 8GS OCQ1JDIYU H  ,  DATI ANAGRAFICI DELSANTO RISIERO  O 8 1 6 3 5 8 O  <START:Sex> M <END> CASIRATE D'ADDA  KR CODICE FISCALE
CODICE FISCALE LQEUNIXO AGY8PT5 ,  DATI ANAGRAFICI DELSIGNORE RIZZERIO  O1571910 <START:Sex> M <END> CASLINO D'ERBA  CN CODICE FISCALE
CODICE FISCALE 18NKVJ5DMZ EBUSL ,  DATI ANAGRAFICI DELTORO RENUCCIO  43O9 1905 <START:Sex> F <END> CASNATE CON BERNATE  EN CODICE FISCALE
CODICE FISCALE HOB S X GD6UEM9R ,  DATI ANAGRAFICI DELUCA REZIO  26 9437O50 81 <START:Sex> F <END> CASNIGO  FM CODICE FISCALE
CODICE FISCALE M THF5 AKUIN8DQE ,  DATI ANAGRAFICI DELUCCHI RICHELMO  25031979 <START:Sex> F <END> CASOLA DI NAPOLI  FE CODICE FISCALE
CODICE FISCALE CITYJZ O MGB U8Q ,  DATI ANAGRAFICI DELUCIO RILDO  06 01 1947 <START:Sex> F <END> CASOLA IN LUNIGIANA  FI CODICE FISCALE
CODICE FISCALE  MUDT1RPCLOVQS 8 ,  DATI ANAGRAFICI DELUIC RISMO  2207 1900 <START:Sex> M <END> CASOLA VALSENIO  FG CODICE FISCALE
CODICE FISCALE K QSC8Z GU1 VENJ ,  DATI ANAGRAFICI DELULLO RIZZI  1 O 8 9 2010 <START:Sex> F <END> CASOLE D'ELSA  FC CODICE FISCALE
CODICE FISCALE Y T R HGQ ZBVA91 ,  DATI ANAGRAFICI DELUSO RENUNZIO  5 4 8 9 5 4 3 6  <START:Sex> F <END> CASOLI  FR CODICE FISCALE
CODICE FISCALE IWJS  Y9KTA8DCMP ,  DATI ANAGRAFICI DELUTIS REZZIERE  O3661915 <START:Sex> F <END> CASORATE PRIMO  GE CODICE FISCALE
CODICE FISCALE JV XZ5L I6 Y1OS  ,  DATI ANAGRAFICI DELVECCHIO RICHETTO  7173 1910 <START:Sex> F <END> CASORATE SEMPIONE  GO CODICE FISCALE
CODICE FISCALE CLYIMZF TKOD B W ,  DATI ANAGRAFICI DELVINTISETTE RIMEDIO   4O02 O1 78 <START:Sex> M <END> CASOREZZO  GR CODICE FISCALE
CODICE FISCALE TGXCKW1OIV D  Z  ,  DATI ANAGRAFICI DEMARCO RISMONDO  13021942 <START:Sex> M <END> CASORIA  IM CODICE FISCALE
CODICE FISCALE XF SI 9JC 6BP AW ,  DATI ANAGRAFICI DEMARIA RIZZIERE  21 03 1912 <START:Sex> M <END> CASORZO  IS CODICE FISCALE
CODICE FISCALE O9L6 DHJYA   ZC5 ,  DATI ANAGRAFICI DEMARTINI RENZI  2304 1950 <START:Sex> M <END> CASPERIA  SP CODICE FISCALE
CODICE FISCALE B8 JPS5 WIA 1OCX ,  DATI ANAGRAFICI DEMARTINO REZZIERI  O 4 4 7 2006 <START:Sex> F <END> CASPOGGIO  AQ CODICE FISCALE
CODICE FISCALE   6R 18VOSCGFHLQ ,  DATI ANAGRAFICI DEMASO RICIOTTI  6 O 1 7 O 1 8 4  <START:Sex> F <END> CASSACCO  LT CODICE FISCALE
CODICE FISCALE 8 W OHLJSY5IT RZ ,  DATI ANAGRAFICI DEMATTE RIMES  2O8O1913 <START:Sex> M <END> CASSAGO BRIANZA  LE CODICE FISCALE
CODICE FISCALE VH XSLDQ5NETIZC  ,  DATI ANAGRAFICI DEMATTEO RISOLUTO  1800 1917 <START:Sex> F <END> CASSANO ALL'IONIO  LC CODICE FISCALE
CODICE FISCALE DG5 RPW ETYXCFZH ,  DATI ANAGRAFICI DEMEO RIZZIERI  87 93 0O6 O <START:Sex> F <END> CASSANO D'ADDA  LI CODICE FISCALE
CODICE FISCALE   FVN9Z5LG HYK W ,  DATI ANAGRAFICI DEMILIA RENZINO  04031990 <START:Sex> F <END> CASSANO DELLE MURGE  LO CODICE FISCALE
CODICE FISCALE ZW1MQGCR5TUXPNJI ,  DATI ANAGRAFICI DEMIRGION REZZIERO  13 11 1927 <START:Sex> M <END> CASSANO IRPINO  LU CODICE FISCALE
CODICE FISCALE N9FZHWG 56XKU AI ,  DATI ANAGRAFICI DEMIRTINI RICO  1608 1909 <START:Sex> F <END> CASSANO MAGNAGO  MC CODICE FISCALE
CODICE FISCALE VAXJG RK QL61DP8 ,  DATI ANAGRAFICI DEMMA RIMO  6 9 O 3 2007 <START:Sex> M <END> CASSANO SPINOLA  MN CODICE FISCALE
CODICE FISCALE  1MK BEOLNYR95J  ,  DATI ANAGRAFICI DEMOSE RISORGI  O O 2 1 7 7 O 9  <START:Sex> M <END> CASSANO VALCUVIA  MS CODICE FISCALE
CODICE FISCALE EADGZ HN9ROX8TC  ,  DATI ANAGRAFICI DENA RIZZIERO  97251902 <START:Sex> F <END> CASSARO  MT CODICE FISCALE
CODICE FISCALE  SH RFDY 8 QPX5K ,  DATI ANAGRAFICI DENARDI RENZIO  8978 1910 <START:Sex> F <END> CASSIGLIO  VS CODICE FISCALE
CODICE FISCALE R THPZG KQC BMVE ,  DATI ANAGRAFICI DENARO RIALDO  5 36 21O O 47 <START:Sex> M <END> CASSINA DE' PECCHI  ME CODICE FISCALE
CODICE FISCALE APTV O HEY1UZ5   ,  DATI ANAGRAFICI DENEGRI RICORDANO  10021912 <START:Sex> F <END> CASSINA RIZZARDI  MI CODICE FISCALE
CODICE FISCALE LFUNTPH RY K9XIO ,  DATI ANAGRAFICI DENICOLA RINALDI  06 08 1936 <START:Sex> M <END> CASSINA VALSASSINA  MO CODICE FISCALE
CODICE FISCALE  TECWJID 9  KXQP ,  DATI ANAGRAFICI DENINA RISORTO  1408 1931 <START:Sex> F <END> CASSINASCO  MB CODICE FISCALE
CODICE FISCALE CFEXISNR 18  H65 ,  DATI ANAGRAFICI DENISCO RIZZO  4 9 7 8 2018 <START:Sex> M <END> CASSINE  NA CODICE FISCALE
CODICE FISCALE PXB RJ8TIUOHYE9  ,  DATI ANAGRAFICI DENOVO RENZO  4 8 8 1 0 9 O 7  <START:Sex> M <END> CASSINELLE  NO CODICE FISCALE
CODICE FISCALE VEHLC GX WUM S 1 ,  DATI ANAGRAFICI DENSI RIANO  OO661915 <START:Sex> M <END> CASSINETTA DI LUGAGNANO  NU CODICE FISCALE
CODICE FISCALE YOC  HJLW6VXZTUD ,  DATI ANAGRAFICI DENTALE RICORDINO  4998 1918 <START:Sex> F <END> CASSINO  OG CODICE FISCALE
CODICE FISCALE F MIBXNTDV1O WU  ,  DATI ANAGRAFICI DENTE RINALDINO  7 621809 5 4 <START:Sex> F <END> CASSOLA  OT CODICE FISCALE
CODICE FISCALE AYJ B KEN9V OTG  ,  DATI ANAGRAFICI DENTI RISSIERI  04111965 <START:Sex> M <END> CASSOLNOVO  OR CODICE FISCALE
CODICE FISCALE Q XV9RGFCUPABE5W ,  DATI ANAGRAFICI DENTICE ROALDO  16 04 1927 <START:Sex> M <END> CASTAGNARO  PD CODICE FISCALE
CODICE FISCALE YN19EBTFG KWZIOL ,  DATI ANAGRAFICI DENTICI REO  0204 1908 <START:Sex> F <END> CASTAGNETO CARDUCCI  PA CODICE FISCALE
CODICE FISCALE HYC 86OM  DJB 1T ,  DATI ANAGRAFICI DENTONO RIBELLE  4 4 7 4 2013 <START:Sex> M <END> CASTAGNETO PO  PR CODICE FISCALE
CODICE FISCALE  CKOV5H  FXRM6Q1 ,  DATI ANAGRAFICI DENUOVO RICORDO  9 6 7 1 9 2 7 8  <START:Sex> M <END> CASTAGNITO  PV CODICE FISCALE
CODICE FISCALE E GOPXND IHQK1 8 ,  DATI ANAGRAFICI DENZI RINALDO  O8581905 <START:Sex> F <END> CASTAGNOLE DELLE LANZE  PG CODICE FISCALE
CODICE FISCALE HDW KYX5 1ZQBU N ,  DATI ANAGRAFICI DEONISSIO RISVEGLIO  09O3 1906 <START:Sex> F <END> CASTAGNOLE MONFERRATO  PU CODICE FISCALE
CODICE FISCALE  TP OA HU5  9CND ,  DATI ANAGRAFICI DEPALMA ROANO  38712   O045 <START:Sex> M <END> CASTAGNOLE PIEMONTE  PE CODICE FISCALE
CODICE FISCALE SPKZBHLT9XY   5G ,  DATI ANAGRAFICI DEPAOLA REODANTE  10061933 <START:Sex> F <END> CASTANA  PC CODICE FISCALE
CODICE FISCALE  NHPRQJZFL1WOTSG ,  DATI ANAGRAFICI DEPASQUALE RIBELLO  29 07 1993 <START:Sex> M <END> CASTANO PRIMO  PI CODICE FISCALE
CODICE FISCALE XK MH AZIP6Y9LN5 ,  DATI ANAGRAFICI DEPRIMA RIDANIO  3008 1971 <START:Sex> F <END> CASTEGGIO  PT CODICE FISCALE
CODICE FISCALE DAKEFR5NGMIJS V9 ,  DATI ANAGRAFICI DEPUSTI RINARDO  5 6 O O 2001 <START:Sex> M <END> CASTEGNATO  PN CODICE FISCALE
CODICE FISCALE 89X NS H Z UAWEQ ,  DATI ANAGRAFICI D’ERAMO RISVELIO  4 3 6 O 2 0 8 8  <START:Sex> F <END> CASTEGNERO  PZ CODICE FISCALE
CODICE FISCALE KEY 8  GOA1BD6TW ,  DATI ANAGRAFICI DERCINI ROBALDO  70OO1903 <START:Sex> M <END> CASTEL BARONIA  PO CODICE FISCALE
CODICE FISCALE ZM 8 WVPFHIK6OJ  ,  DATI ANAGRAFICI DERIDIO REONALDO  8808 1900 <START:Sex> M <END> CASTEL BOGLIONE  RG CODICE FISCALE
CODICE FISCALE FMJ O1 9ZVAYP8L5 ,  DATI ANAGRAFICI DERINI RIBERTO  85  O2470  1 <START:Sex> F <END> CASTEL BOLOGNESE  RA CODICE FISCALE
CODICE FISCALE ZC6MQDWN X9GKBLY ,  DATI ANAGRAFICI DEROSA RIDANO  20051900 <START:Sex> F <END> CASTEL CAMPAGNANO  RC CODICE FISCALE
CODICE FISCALE 6TG5RL OQXCNB1DP ,  DATI ANAGRAFICI DERRICO RINDO  15 10 1944 <START:Sex> F <END> CASTEL CASTAGNA  RE CODICE FISCALE
CODICE FISCALE  IWUH6PRGZ KJXVY ,  DATI ANAGRAFICI DERUI RITANO  1510 1984 <START:Sex> F <END> CASTEL CONDINO  RI CODICE FISCALE
CODICE FISCALE HCEMK S 86U DQ I ,  DATI ANAGRAFICI DERVERIAN ROBERTINO  2 7 O O 2019 <START:Sex> M <END> CASTEL D'AIANO  RN CODICE FISCALE
CODICE FISCALE 8 9ZU  1 AWCE S  ,  DATI ANAGRAFICI DESALVO REOVALDO  3 3 5 3 8 2 O 3  <START:Sex> F <END> CASTEL D'ARIO  RM CODICE FISCALE
CODICE FISCALE KT  F8NVR1G  MSO ,  DATI ANAGRAFICI DESANDO RIBES  O8251911 <START:Sex> F <END> CASTEL D'AZZANO  RO CODICE FISCALE
CODICE FISCALE PWU5K 19CMSN Q Z ,  DATI ANAGRAFICI DESANDRE RIDEO  50OO 1902 <START:Sex> M <END> CASTEL DEL GIUDICE  SA CODICE FISCALE
CODICE FISCALE AK IERON YVS58FJ ,  DATI ANAGRAFICI DESANTIO RINELLO  67 2 O5 190  <START:Sex> F <END> CASTEL DEL MONTE  SS CODICE FISCALE
CODICE FISCALE Z JL  SPIY5NGXVU ,  DATI ANAGRAFICI DESANTIS RITARDO  13071988 <START:Sex> F <END> CASTEL DEL PIANO  SV CODICE FISCALE
CODICE FISCALE EFYPDAK5U IWNJ O ,  DATI ANAGRAFICI DESARIA ROBERTO  06 01 1900 <START:Sex> F <END> CASTEL DEL RIO  SI CODICE FISCALE
CODICE FISCALE FB6KITQNH1 W  LR ,  DATI ANAGRAFICI DESCHINO REPARATO  3001 1940 <START:Sex> F <END> CASTEL DI CASIO  SR CODICE FISCALE
CODICE FISCALE WDB J UO9TMC15EY ,  DATI ANAGRAFICI DESIDERATO RICANGELO  9 4 1 0 2004 <START:Sex> F <END> CASTEL DI IERI  SO CODICE FISCALE
CODICE FISCALE S 9JHAYQIOL 1G8U ,  DATI ANAGRAFICI DESIDERIO RIDIO  1 O O 5 3 9 O O  <START:Sex> F <END> CASTEL DI IUDICA  TA CODICE FISCALE
CODICE FISCALE QI O J H9 FZWNSK ,  DATI ANAGRAFICI DESIGRONE RINEO  9O561908 <START:Sex> F <END> CASTEL DI LAMA  TE CODICE FISCALE
CODICE FISCALE NM6UJ   1VOHQE C ,  DATI ANAGRAFICI DESIMONE RITO  O959 1908 <START:Sex> F <END> CASTEL DI LUCIO  TR CODICE FISCALE
CODICE FISCALE   JAOZBI1KFULQE  ,  DATI ANAGRAFICI D’ESOPO ROBIS  O 41O79 2  80 <START:Sex> M <END> CASTEL DI SANGRO  TP CODICE FISCALE
CODICE FISCALE 685PBJXFGT OISNA ,  DATI ANAGRAFICI DESPERZA RESI  15091925 <START:Sex> M <END> CASTEL DI SASSO  TN CODICE FISCALE
CODICE FISCALE ZG A OTUXMR Y5BS ,  DATI ANAGRAFICI DESPOSITO RICARDO  23 09 1957 <START:Sex> M <END> CASTEL DI TORA  TV CODICE FISCALE
CODICE FISCALE  FSZHYILRBJMG  8 ,  DATI ANAGRAFICI DESPOTO RIDO  0301 1965 <START:Sex> M <END> CASTEL FOCOGNANO  TS CODICE FISCALE
CODICE FISCALE   LV8RM GEWXBUTH ,  DATI ANAGRAFICI DESTEFANO RINETTO  3 0 5 3 2003 <START:Sex> F <END> CASTEL FRENTANO  TO CODICE FISCALE
CODICE FISCALE   8WZCEO TBHJY95 ,  DATI ANAGRAFICI DESTRIERI RITUCCIO  4 4 3 2 5 8 7 0  <START:Sex> M <END> CASTEL GABBIANO  UD CODICE FISCALE
CODICE FISCALE DEACTWG8 I1VFXMK ,  DATI ANAGRAFICI DETALIS ROBLEDO  20351911 <START:Sex> F <END> CASTEL GANDOLFO  VA CODICE FISCALE
CODICE FISCALE  M RD1UCJ8BKA 6E ,  DATI ANAGRAFICI DETARO RESIO  71O6 1901 <START:Sex> F <END> CASTEL GIORGIO  VE CODICE FISCALE
CODICE FISCALE IT5NPOUEHR1WKAVF ,  DATI ANAGRAFICI DEVETTO RICCARDI  813 56O2O9   <START:Sex> F <END> CASTEL GOFFREDO  VB CODICE FISCALE
CODICE FISCALE Z86SY1ORIMHAL5VC ,  DATI ANAGRAFICI DEVICARISO RIDOLFO  10051919 <START:Sex> F <END> CASTEL GUELFO DI BOLOGNA  VC CODICE FISCALE
CODICE FISCALE YPNUHOJR Z1 EBX  ,  DATI ANAGRAFICI DEVIDO RINGO  26 11 1910 <START:Sex> M <END> CASTEL IVANO  VR CODICE FISCALE
CODICE FISCALE 6HYKEGL815WTC SI ,  DATI ANAGRAFICI DEVITO RIVA  0302 1919 <START:Sex> F <END> CASTEL MADAMA  VV CODICE FISCALE
CODICE FISCALE 8PA  ZF5UHSW6J9T ,  DATI ANAGRAFICI DEVONA ROBLETO  O 1 6 0 2006 <START:Sex> F <END> CASTEL MAGGIORE  VI CODICE FISCALE
CODICE FISCALE  BC1D 8MR9OYLI5A ,  DATI ANAGRAFICI D’FILIPPO RESPICIO  2 O 4 9 4 O 0 O  <START:Sex> M <END> CASTEL MELLA  VT CODICE FISCALE
CODICE FISCALE HBIVL O9N5 XRJKM ,  DATI ANAGRAFICI DI CESARE RICCARDINO  35991909 <START:Sex> M <END> CASTEL MORRONE  AG CODICE FISCALE
CODICE FISCALE VMQF8HOBZ 5CX I1 ,  DATI ANAGRAFICI DI DOMIZIO RIEDO  011O 1902 <START:Sex> F <END> CASTEL RITALDI  AL CODICE FISCALE
CODICE FISCALE BZSEYL1J XV6Q 9W ,  DATI ANAGRAFICI DI FRESCO D’IGNOTO RINIERI  61 7O305  48 <START:Sex> F <END> CASTEL ROCCHERO  AN CODICE FISCALE
CODICE FISCALE IYWZQOPXK FECGRB ,  DATI ANAGRAFICI DI GIACOMETTINO RIVALDO  20101918 <START:Sex> M <END> CASTEL ROZZONE  AO CODICE FISCALE
