CODICE FISCALE  YLA  TXJ9 5WSPMN ,  DATI ANAGRAFICI ABATE ABACO  POK <START:DOB> 19 06 1978 <END> F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE LP1Z UBIMGAXVH S ,  DATI ANAGRAFICI DELLA STELLA RENIS  <START:DOB> 0809 1958 <END> F CASANOVA ELVO  VC CODICE FISCALE
CODICE FISCALE  Z TLPKS6 RUHABO ,  DATI ANAGRAFICI DELLA TERZA REVEL  <START:DOB> 7 8 6 4 2019 <END> M CASANOVA LERRONE  VR CODICE FISCALE
CODICE FISCALE H DFJKLAT1 IQM   ,  DATI ANAGRAFICI DELLA TOMBA RICCIERI  <START:DOB> 6 5 4 1 3 0 O O  <END> F CASANOVA LONATI  VV CODICE FISCALE
CODICE FISCALE Y EH UA6 5WPBGFD ,  DATI ANAGRAFICI DELLA TORRE RIGINALDO  <START:DOB> 2O201919 <END> F CASAPE  VI CODICE FISCALE
CODICE FISCALE  EROTCV6YUS5 F A ,  DATI ANAGRAFICI DELLA VALENTINA RIODE  <START:DOB> 7OO9 1910 <END> F CASAPESENNA  VT CODICE FISCALE
CODICE FISCALE  ULK FOMAHGJDYWE ,  DATI ANAGRAFICI DELLA VEDOVA RIZIERI  <START:DOB> 85 9 17 OO2 <END> F CASAPINTA  AG CODICE FISCALE
CODICE FISCALE GSEQDF HKA 81 NB ,  DATI ANAGRAFICI DELL’ACQUA RENNER  <START:DOB> 29041915 <END> F CASAPROTA  AL CODICE FISCALE
CODICE FISCALE BA1  H8XQCLW  9  ,  DATI ANAGRAFICI DELL’AMORE REVILIO  <START:DOB> 22 11 1923 <END> F CASAPULLA  AN CODICE FISCALE
CODICE FISCALE SVT8 R 59JFQOPD  ,  DATI ANAGRAFICI DELL’ARGINE RICCIERO  <START:DOB> 1502 1945 <END> M CASARANO  AO CODICE FISCALE
CODICE FISCALE J Q ANYGS9O 5M V ,  DATI ANAGRAFICI DELL’ARMAIOLO RIGHETTO  <START:DOB> 3 O 7 2 2001 <END> M CASARGO  AR CODICE FISCALE
CODICE FISCALE CD8 FYOQ1 WN6EM9 ,  DATI ANAGRAFICI DELLE RIONERO  <START:DOB> 6 O 4 9 5 3 7 1  <END> F CASARILE  AP CODICE FISCALE
CODICE FISCALE L VU9WQOM8T1ACKZ ,  DATI ANAGRAFICI DELLE CHIAE RIZIERO  <START:DOB> 33841903 <END> F CASARSA DELLA DELIZIA  AT CODICE FISCALE
CODICE FISCALE 6J VWGIDKT  XB1  ,  DATI ANAGRAFICI DELLE CHIAVI RENNO  <START:DOB> OOOO 1902 <END> F CASARZA LIGURE  AV CODICE FISCALE
CODICE FISCALE  RI9G TKM JUPE1H ,  DATI ANAGRAFICI DELLE GRAZIE REVO  <START:DOB> 34 287  1  09 <END> F CASASCO  BA CODICE FISCALE
CODICE FISCALE C98EPYONT5AX1FM  ,  DATI ANAGRAFICI DELLE COLONNE RICCIO  <START:DOB> 25011968 <END> M CASATENOVO  BT CODICE FISCALE
CODICE FISCALE O9FUJ 6C 1HQKMZN ,  DATI ANAGRAFICI DELLI RIGO  <START:DOB> 01 01 1939 <END> M CASATISMA  BL CODICE FISCALE
CODICE FISCALE 8O BE61 XSKT N9Y ,  DATI ANAGRAFICI DELLISANTI RIPALTA  <START:DOB> 1208 1955 <END> M CASAVATORE  BN CODICE FISCALE
CODICE FISCALE NMLOI5HGWTBXPQZF ,  DATI ANAGRAFICI DELLO STROLOGO RIZZANO  <START:DOB> O 3 3 4 2019 <END> M CASAZZA  BG CODICE FISCALE
CODICE FISCALE  JL PK CTRE1MQAS ,  DATI ANAGRAFICI DELL’OCA RENO  <START:DOB> 1 O 4 9 1 8 2 1  <END> M CASCIA  BI CODICE FISCALE
CODICE FISCALE O9T CFV K6HDGI P ,  DATI ANAGRAFICI DELL’OLIO REZIERE  <START:DOB> O2561909 <END> F CASCIAGO  BO CODICE FISCALE
CODICE FISCALE E 8G6XZTOFSK N I ,  DATI ANAGRAFICI DELL’ORFANO RICCIOTTI  <START:DOB> 887O 1903 <END> M CASCIANA TERME LARI  BZ CODICE FISCALE
CODICE FISCALE 6YE  XDHFRWQM1 T ,  DATI ANAGRAFICI DELLORUSSO RIGOBERTO  <START:DOB> 978 O3   01 <END> M CASCINA  BS CODICE FISCALE
CODICE FISCALE ODP UGRISWJNX  9 ,  DATI ANAGRAFICI DELLULLO RISCATTO  <START:DOB> 01061997 <END> F CASCINETTE D'IVREA  BR CODICE FISCALE
CODICE FISCALE  5V 86RNAZ1M 9LS ,  DATI ANAGRAFICI DELL’UVA RIZZARDO  <START:DOB> 27 06 1994 <END> F CASEI GEROLA  CA CODICE FISCALE
CODICE FISCALE  RZ  BUOPG 1MK N ,  DATI ANAGRAFICI DELMATTI RENSO  <START:DOB> 0208 1984 <END> F CASELETTE  CL CODICE FISCALE
CODICE FISCALE NFE RUWCLPHZ1A X ,  DATI ANAGRAFICI DELMAURO REZIERI  <START:DOB> 9 2 O O 2018 <END> M CASELLA  CB CODICE FISCALE
CODICE FISCALE  BAP85 VYF 9TCIN ,  DATI ANAGRAFICI DELMERO RICCIOTTO  <START:DOB> 4 9 7 9 1 O 2 5  <END> M CASELLE IN PITTARI  CI CODICE FISCALE
CODICE FISCALE XL1Y OR KWB8DQ5G ,  DATI ANAGRAFICI DELMONACO RIGOLETTO  <START:DOB> O8O71910 <END> F CASELLE LANDI  CE CODICE FISCALE
CODICE FISCALE 91F6K XL  UBCSRZ ,  DATI ANAGRAFICI DELORENZO RISIERI  <START:DOB> 9383 1908 <END> F CASELLE LURANI  CT CODICE FISCALE
CODICE FISCALE RI1OV8A XM6 5PYN ,  DATI ANAGRAFICI DELOTTO RIZZERI  <START:DOB>  024 7   8O9 <END> F CASELLE TORINESE  CZ CODICE FISCALE
CODICE FISCALE B D1 FJASVU P6EL ,  DATI ANAGRAFICI DELPI RENTO  <START:DOB> 29011955 <END> F CASERTA  CH CODICE FISCALE
CODICE FISCALE 9FJGUXEW A1I5HVP ,  DATI ANAGRAFICI DELPIZZO REZIERO  <START:DOB> 21 10 1951 <END> M CASIER  CO CODICE FISCALE
CODICE FISCALE QNH 5BM9XVLP GY  ,  DATI ANAGRAFICI DELPRIORE RICCO  <START:DOB> 2904 1939 <END> F CASIGNANA  CS CODICE FISCALE
CODICE FISCALE EDJ L1NV8U5YHS9X ,  DATI ANAGRAFICI DELSANTI RIGUCCIO  <START:DOB> 0 8 O 6 2017 <END> F CASINA  CR CODICE FISCALE
CODICE FISCALE Z  TGVI9 S OXE5U ,  DATI ANAGRAFICI DELSANTO RISIERO  <START:DOB> O 0 1 9 7 9 8 2  <END> M CASIRATE D'ADDA  KR CODICE FISCALE
CODICE FISCALE XBC TVFHOWM  ZD  ,  DATI ANAGRAFICI DELSIGNORE RIZZERIO  <START:DOB> 03691916 <END> M CASLINO D'ERBA  CN CODICE FISCALE
CODICE FISCALE SJIQ ODHEFBL MXK ,  DATI ANAGRAFICI DELTORO RENUCCIO  <START:DOB> 5848 1915 <END> F CASNATE CON BERNATE  EN CODICE FISCALE
CODICE FISCALE 6PG LS  IANMRECQ ,  DATI ANAGRAFICI DELUCA REZIO  <START:DOB> 13 O67948 O5 <END> M CASNIGO  FM CODICE FISCALE
CODICE FISCALE   8TY6QKHPUMIOF  ,  DATI ANAGRAFICI DELUCCHI RICHELMO  <START:DOB> 30021955 <END> M CASOLA DI NAPOLI  FE CODICE FISCALE
CODICE FISCALE XUC1VQ96SN5GM FK ,  DATI ANAGRAFICI DELUCIO RILDO  <START:DOB> 18 04 1908 <END> F CASOLA IN LUNIGIANA  FI CODICE FISCALE
CODICE FISCALE UCA91SRD PG VYTO ,  DATI ANAGRAFICI DELUIC RISMO  <START:DOB> 2004 1911 <END> F CASOLA VALSENIO  FG CODICE FISCALE
CODICE FISCALE 5  1TLGH DEVW8PU ,  DATI ANAGRAFICI DELULLO RIZZI  <START:DOB> 9 4 2 6 2019 <END> M CASOLE D'ELSA  FC CODICE FISCALE
CODICE FISCALE YOU 9 RF5B WZVSK ,  DATI ANAGRAFICI DELUSO RENUNZIO  <START:DOB> O 9 3 O 5 0 3 9  <END> M CASOLI  FR CODICE FISCALE
CODICE FISCALE I85KQGWOUEYCZR6  ,  DATI ANAGRAFICI DELUTIS REZZIERE  <START:DOB> 25O91906 <END> M CASORATE PRIMO  GE CODICE FISCALE
CODICE FISCALE XG 6RSFVUKHQMTP5 ,  DATI ANAGRAFICI DELVECCHIO RICHETTO  <START:DOB> 008O 1919 <END> F CASORATE SEMPIONE  GO CODICE FISCALE
CODICE FISCALE 9 RIFDSZ5K WJO Y ,  DATI ANAGRAFICI DELVINTISETTE RIMEDIO  <START:DOB> 7 O 35 0 984 <END> M CASOREZZO  GR CODICE FISCALE
CODICE FISCALE WKDFJLX5V M1 ST  ,  DATI ANAGRAFICI DEMARCO RISMONDO  <START:DOB> 23031909 <END> M CASORIA  IM CODICE FISCALE
CODICE FISCALE  P9FCSRX AWY  V  ,  DATI ANAGRAFICI DEMARIA RIZZIERE  <START:DOB> 21 05 1904 <END> M CASORZO  IS CODICE FISCALE
CODICE FISCALE IAB6PCUQVN G L8Y ,  DATI ANAGRAFICI DEMARTINI RENZI  <START:DOB> 2702 1963 <END> M CASPERIA  SP CODICE FISCALE
CODICE FISCALE R  PAYTOGULCB 6Q ,  DATI ANAGRAFICI DEMARTINO REZZIERI  <START:DOB> 7 9 0 O 2013 <END> M CASPOGGIO  AQ CODICE FISCALE
CODICE FISCALE YQKM9XFBTH8JRD G ,  DATI ANAGRAFICI DEMASO RICIOTTI  <START:DOB> 2 4 9 3 2 O 2 O  <END> F CASSACCO  LT CODICE FISCALE
CODICE FISCALE  AW 6DBVX QMTZLN ,  DATI ANAGRAFICI DEMATTE RIMES  <START:DOB> 88481906 <END> F CASSAGO BRIANZA  LE CODICE FISCALE
CODICE FISCALE FORGV5 61AHZLUXW ,  DATI ANAGRAFICI DEMATTEO RISOLUTO  <START:DOB> 6O25 1903 <END> F CASSANO ALL'IONIO  LC CODICE FISCALE
CODICE FISCALE V1  C9 DFB8M5ULE ,  DATI ANAGRAFICI DEMEO RIZZIERI  <START:DOB>  160 O4523 O <END> F CASSANO D'ADDA  LI CODICE FISCALE
CODICE FISCALE UCGZ F 6J 5M9D K ,  DATI ANAGRAFICI DEMILIA RENZINO  <START:DOB> 29111974 <END> M CASSANO DELLE MURGE  LO CODICE FISCALE
CODICE FISCALE MO189JP R FV W K ,  DATI ANAGRAFICI DEMIRGION REZZIERO  <START:DOB> 30 05 1918 <END> M CASSANO IRPINO  LU CODICE FISCALE
CODICE FISCALE J AZP9VK6FTGX CR ,  DATI ANAGRAFICI DEMIRTINI RICO  <START:DOB> 0208 1982 <END> M CASSANO MAGNAGO  MC CODICE FISCALE
CODICE FISCALE XR Z9JV18NFLW OI ,  DATI ANAGRAFICI DEMMA RIMO  <START:DOB> 3 3 7 6 2001 <END> M CASSANO SPINOLA  MN CODICE FISCALE
CODICE FISCALE UM X 8YTNW5JP9A  ,  DATI ANAGRAFICI DEMOSE RISORGI  <START:DOB> O O 2 1 0 O 0 9  <END> F CASSANO VALCUVIA  MS CODICE FISCALE
CODICE FISCALE WYRO6  PSX95AEZD ,  DATI ANAGRAFICI DENA RIZZIERO  <START:DOB> 87O21900 <END> F CASSARO  MT CODICE FISCALE
CODICE FISCALE  SYFMVLWKNO I EG ,  DATI ANAGRAFICI DENARDI RENZIO  <START:DOB> 9070 1916 <END> M CASSIGLIO  VS CODICE FISCALE
CODICE FISCALE   U96H1 5WGXFVP  ,  DATI ANAGRAFICI DENARO RIALDO  <START:DOB> O3  0 79O456  <END> M CASSINA DE' PECCHI  ME CODICE FISCALE
CODICE FISCALE FVJRP NM GQSB5 X ,  DATI ANAGRAFICI DENEGRI RICORDANO  <START:DOB> 07101967 <END> M CASSINA RIZZARDI  MI CODICE FISCALE
CODICE FISCALE VHBAZ YSTXMUFJ5R ,  DATI ANAGRAFICI DENICOLA RINALDI  <START:DOB> 29 07 1913 <END> M CASSINA VALSASSINA  MO CODICE FISCALE
CODICE FISCALE CLVYPT1BFH 6 KM9 ,  DATI ANAGRAFICI DENINA RISORTO  <START:DOB> 1206 1959 <END> F CASSINASCO  MB CODICE FISCALE
CODICE FISCALE KE VLD QROUMCN5  ,  DATI ANAGRAFICI DENISCO RIZZO  <START:DOB> 3 0 5 8 2017 <END> M CASSINE  NA CODICE FISCALE
CODICE FISCALE F 1HKQ5 V IN69LR ,  DATI ANAGRAFICI DENOVO RENZO  <START:DOB> 5 1 9 3 5 2 1 6  <END> F CASSINELLE  NO CODICE FISCALE
CODICE FISCALE 9 Y GJUE5 VIPORC ,  DATI ANAGRAFICI DENSI RIANO  <START:DOB> 023O1914 <END> M CASSINETTA DI LUGAGNANO  NU CODICE FISCALE
CODICE FISCALE SH QV1 JB 5MY ZW ,  DATI ANAGRAFICI DENTALE RICORDINO  <START:DOB> 9288 1903 <END> F CASSINO  OG CODICE FISCALE
CODICE FISCALE OYGJKNMWVCSIARU  ,  DATI ANAGRAFICI DENTE RINALDINO  <START:DOB> 0 15 43O678  <END> M CASSOLA  OT CODICE FISCALE
CODICE FISCALE  X BJH  AEU 8Q G ,  DATI ANAGRAFICI DENTI RISSIERI  <START:DOB> 21111926 <END> M CASSOLNOVO  OR CODICE FISCALE
CODICE FISCALE WN  EIR GCH 18KY ,  DATI ANAGRAFICI DENTICE ROALDO  <START:DOB> 17 10 1937 <END> M CASTAGNARO  PD CODICE FISCALE
CODICE FISCALE G RIDS9ANTZXHK U ,  DATI ANAGRAFICI DENTICI REO  <START:DOB> 2805 1948 <END> M CASTAGNETO CARDUCCI  PA CODICE FISCALE
CODICE FISCALE NAQR MJFG EDZW16 ,  DATI ANAGRAFICI DENTONO RIBELLE  <START:DOB> 3 4 0 O 2002 <END> F CASTAGNETO PO  PR CODICE FISCALE
CODICE FISCALE B RZ SMECD N6GVX ,  DATI ANAGRAFICI DENUOVO RICORDO  <START:DOB> 6 1 9 3 6 O 6 9  <END> M CASTAGNITO  PV CODICE FISCALE
CODICE FISCALE 6HNFPVXLKZ 5Y JD ,  DATI ANAGRAFICI DENZI RINALDO  <START:DOB> 55O81912 <END> M CASTAGNOLE DELLE LANZE  PG CODICE FISCALE
CODICE FISCALE IP SQHY9V MJ A1B ,  DATI ANAGRAFICI DEONISSIO RISVEGLIO  <START:DOB> 01O0 1918 <END> M CASTAGNOLE MONFERRATO  PU CODICE FISCALE
CODICE FISCALE K  TZDG YH6CNX9O ,  DATI ANAGRAFICI DEPALMA ROANO  <START:DOB>  9832 05 O167 <END> F CASTAGNOLE PIEMONTE  PE CODICE FISCALE
CODICE FISCALE 9A K8HWJNT5MVFO1 ,  DATI ANAGRAFICI DEPAOLA REODANTE  <START:DOB> 29111917 <END> M CASTANA  PC CODICE FISCALE
CODICE FISCALE JSEOQ5VKWTM F9U  ,  DATI ANAGRAFICI DEPASQUALE RIBELLO  <START:DOB> 22 04 1920 <END> M CASTANO PRIMO  PI CODICE FISCALE
CODICE FISCALE JQD UVWMFT5YX ZA ,  DATI ANAGRAFICI DEPRIMA RIDANIO  <START:DOB> 2907 1920 <END> F CASTEGGIO  PT CODICE FISCALE
CODICE FISCALE IV1WELT OZGRUAX  ,  DATI ANAGRAFICI DEPUSTI RINARDO  <START:DOB> 9 7 1 6 2000 <END> M CASTEGNATO  PN CODICE FISCALE
CODICE FISCALE LFK T1DPWCGY8VHS ,  DATI ANAGRAFICI D’ERAMO RISVELIO  <START:DOB> 6 0 2 2 1 8 5 2  <END> M CASTEGNERO  PZ CODICE FISCALE
CODICE FISCALE   BYP 5S1NL VEWJ ,  DATI ANAGRAFICI DERCINI ROBALDO  <START:DOB> 00O31905 <END> M CASTEL BARONIA  PO CODICE FISCALE
CODICE FISCALE T P1RXIGYJAOEDC  ,  DATI ANAGRAFICI DERIDIO REONALDO  <START:DOB> O2OO 1906 <END> M CASTEL BOGLIONE  RG CODICE FISCALE
CODICE FISCALE KN6 JCLGDUX PZYO ,  DATI ANAGRAFICI DERINI RIBERTO  <START:DOB>  53  890O274 <END> M CASTEL BOLOGNESE  RA CODICE FISCALE
CODICE FISCALE G NOWLQ 581CVR P ,  DATI ANAGRAFICI DEROSA RIDANO  <START:DOB> 17081984 <END> M CASTEL CAMPAGNANO  RC CODICE FISCALE
CODICE FISCALE V8AF 9Z  5WSBDIH ,  DATI ANAGRAFICI DERRICO RINDO  <START:DOB> 01 01 1969 <END> F CASTEL CASTAGNA  RE CODICE FISCALE
CODICE FISCALE TL 9GPRIMBDQ6ZCO ,  DATI ANAGRAFICI DERUI RITANO  <START:DOB> 2703 1927 <END> F CASTEL CONDINO  RI CODICE FISCALE
CODICE FISCALE IB18ECHLJ9 WQP R ,  DATI ANAGRAFICI DERVERIAN ROBERTINO  <START:DOB> 2 1 3 O 2004 <END> F CASTEL D'AIANO  RN CODICE FISCALE
CODICE FISCALE 6Y LFDSOG 15TKMC ,  DATI ANAGRAFICI DESALVO REOVALDO  <START:DOB> 7 5 6 3 5 3 4 2  <END> F CASTEL D'ARIO  RM CODICE FISCALE
CODICE FISCALE 5 CMWN1TJYR8OFPE ,  DATI ANAGRAFICI DESANDO RIBES  <START:DOB> 412O1901 <END> M CASTEL D'AZZANO  RO CODICE FISCALE
CODICE FISCALE B8 Z PT15KDXHY C ,  DATI ANAGRAFICI DESANDRE RIDEO  <START:DOB> 1777 1906 <END> F CASTEL DEL GIUDICE  SA CODICE FISCALE
CODICE FISCALE KD8  AC T  GY6QR ,  DATI ANAGRAFICI DESANTIO RINELLO  <START:DOB> 7   5O2406O3 <END> F CASTEL DEL MONTE  SS CODICE FISCALE
CODICE FISCALE CA U6B1XV ITN5PK ,  DATI ANAGRAFICI DESANTIS RITARDO  <START:DOB> 17071975 <END> F CASTEL DEL PIANO  SV CODICE FISCALE
CODICE FISCALE A8 IDJG  UC FPXH ,  DATI ANAGRAFICI DESARIA ROBERTO  <START:DOB> 11 02 1990 <END> M CASTEL DEL RIO  SI CODICE FISCALE
CODICE FISCALE XIRJ6  N9WGB C8D ,  DATI ANAGRAFICI DESCHINO REPARATO  <START:DOB> 0601 1901 <END> M CASTEL DI CASIO  SR CODICE FISCALE
CODICE FISCALE Q9TPBJK1XCU DSG  ,  DATI ANAGRAFICI DESIDERATO RICANGELO  <START:DOB> 7 5 O 2 2016 <END> F CASTEL DI IERI  SO CODICE FISCALE
CODICE FISCALE DYKIUPTZLACJXH1  ,  DATI ANAGRAFICI DESIDERIO RIDIO  <START:DOB> 0 2 4 4 2 7 6 7  <END> F CASTEL DI IUDICA  TA CODICE FISCALE
CODICE FISCALE ALN8 Y  6RHWTJDI ,  DATI ANAGRAFICI DESIGRONE RINEO  <START:DOB> 41921919 <END> M CASTEL DI LAMA  TE CODICE FISCALE
CODICE FISCALE UXI1FC  OESNLTKV ,  DATI ANAGRAFICI DESIMONE RITO  <START:DOB> OO9O 1907 <END> M CASTEL DI LUCIO  TR CODICE FISCALE
CODICE FISCALE EBPI6O5DSGZ M VH ,  DATI ANAGRAFICI D’ESOPO ROBIS  <START:DOB> O0 2314   8 <END> F CASTEL DI SANGRO  TP CODICE FISCALE
CODICE FISCALE  XTOS1Q9M6Z WLG5 ,  DATI ANAGRAFICI DESPERZA RESI  <START:DOB> 01011907 <END> M CASTEL DI SASSO  TN CODICE FISCALE
CODICE FISCALE SEAO65  9BD HNZX ,  DATI ANAGRAFICI DESPOSITO RICARDO  <START:DOB> 04 09 1975 <END> F CASTEL DI TORA  TV CODICE FISCALE
CODICE FISCALE ZT 8MEGQ6IVSK 5P ,  DATI ANAGRAFICI DESPOTO RIDO  <START:DOB> 1903 1997 <END> M CASTEL FOCOGNANO  TS CODICE FISCALE
CODICE FISCALE 5SC NR89HFDGBZU  ,  DATI ANAGRAFICI DESTEFANO RINETTO  <START:DOB> 9 5 O 1 2004 <END> M CASTEL FRENTANO  TO CODICE FISCALE
CODICE FISCALE YH TSI5GW  1NMB9 ,  DATI ANAGRAFICI DESTRIERI RITUCCIO  <START:DOB> 6 4 5 1 5 9 1 7  <END> M CASTEL GABBIANO  UD CODICE FISCALE
CODICE FISCALE GUXTBDS Y MAK8   ,  DATI ANAGRAFICI DETALIS ROBLEDO  <START:DOB> O6541903 <END> F CASTEL GANDOLFO  VA CODICE FISCALE
CODICE FISCALE STQPWGUCI N1EARZ ,  DATI ANAGRAFICI DETARO RESIO  <START:DOB> 2138 1905 <END> F CASTEL GIORGIO  VE CODICE FISCALE
CODICE FISCALE T1GM5LINFAC  WBU ,  DATI ANAGRAFICI DEVETTO RICCARDI  <START:DOB>  5 2 6O7840  <END> F CASTEL GOFFREDO  VB CODICE FISCALE
CODICE FISCALE  J9 I6C8 G1SYUKQ ,  DATI ANAGRAFICI DEVICARISO RIDOLFO  <START:DOB> 26071932 <END> F CASTEL GUELFO DI BOLOGNA  VC CODICE FISCALE
CODICE FISCALE FRTHSAVQ X ENID5 ,  DATI ANAGRAFICI DEVIDO RINGO  <START:DOB> 07 03 1926 <END> M CASTEL IVANO  VR CODICE FISCALE
CODICE FISCALE TK FD UNA 9GHW O ,  DATI ANAGRAFICI DEVITO RIVA  <START:DOB> 2004 1988 <END> M CASTEL MADAMA  VV CODICE FISCALE
CODICE FISCALE RKWZ85GAMDE CS F ,  DATI ANAGRAFICI DEVONA ROBLETO  <START:DOB> 5 6 O 0 2014 <END> F CASTEL MAGGIORE  VI CODICE FISCALE
CODICE FISCALE BDE9VM X FSWYJU  ,  DATI ANAGRAFICI D’FILIPPO RESPICIO  <START:DOB> 9 0 5 4 O 1 O 0  <END> M CASTEL MELLA  VT CODICE FISCALE
CODICE FISCALE YD KQSAB86XFCPN1 ,  DATI ANAGRAFICI DI CESARE RICCARDINO  <START:DOB> 90O41906 <END> F CASTEL MORRONE  AG CODICE FISCALE
CODICE FISCALE XIGWJDUFZO  CV8  ,  DATI ANAGRAFICI DI DOMIZIO RIEDO  <START:DOB> 6O0O 1919 <END> M CASTEL RITALDI  AL CODICE FISCALE
CODICE FISCALE  6BTIW1COKEZU Y8 ,  DATI ANAGRAFICI DI FRESCO D’IGNOTO RINIERI  <START:DOB>   503O64 O271 <END> F CASTEL ROCCHERO  AN CODICE FISCALE
CODICE FISCALE  15S8NI VJGMTFYH ,  DATI ANAGRAFICI DI GIACOMETTINO RIVALDO  <START:DOB> 01011917 <END> M CASTEL ROZZONE  AO CODICE FISCALE
CODICE FISCALE    D5LJRCNY6OM1U ,  DATI ANAGRAFICI DI GIOVANNI ROBOAMO  <START:DOB> 05 11 1957 <END> M CASTEL SAN GIORGIO  AR CODICE FISCALE
CODICE FISCALE   LCNVQAMJUS W P ,  DATI ANAGRAFICI DI MAGGIO RESTITUTO  <START:DOB> 0410 1936 <END> M CASTEL SAN GIOVANNI  AP CODICE FISCALE
CODICE FISCALE XBHRWQ58 AS N G9 ,  DATI ANAGRAFICI DI MAGIO RICCARDO  <START:DOB> 5 0 O 0 2005 <END> M CASTEL SAN LORENZO  AT CODICE FISCALE
CODICE FISCALE UG IHCRYK8 DTQ   ,  DATI ANAGRAFICI DI MARZO RIEGO  <START:DOB> 9 9 5 0 O O 1 5  <END> M CASTEL SAN NICCOLÒ  AV CODICE FISCALE
CODICE FISCALE IW   DNE95SU ZQH ,  DATI ANAGRAFICI DI QUATTRO RINIERO  <START:DOB> 004O1902 <END> F CASTEL SAN PIETRO ROMANO  BA CODICE FISCALE
CODICE FISCALE UISRLTY6C EXM8VD ,  DATI ANAGRAFICI DI RIENZI RIVANO  <START:DOB> O027 1913 <END> M CASTEL SAN PIETRO TERME  BT CODICE FISCALE
CODICE FISCALE KQJ5HZX UA6O 9SR ,  DATI ANAGRAFICI DI VOTTI ROBOANO  <START:DOB> 91 6 8O5 3  <END> F CASTEL SAN VINCENZO  BL CODICE FISCALE
CODICE FISCALE TIM  SF1KBXZQ NU ,  DATI ANAGRAFICI DI VOTTO RESVINDO  <START:DOB> 24021995 <END> F CASTEL SANT'ANGELO  BN CODICE FISCALE
CODICE FISCALE SN GFVLAWB1Z IOQ ,  DATI ANAGRAFICI DIABERTO RICCI  <START:DOB> 16 10 1941 <END> M CASTEL SANT'ELIA  BG CODICE FISCALE
CODICE FISCALE 8 BHVKD  OI59CAU ,  DATI ANAGRAFICI DIACCURSIO RIELLO  <START:DOB> 1501 1997 <END> F CASTEL VISCARDO  BI CODICE FISCALE
CODICE FISCALE EO9AJT CXHKBIDL8 ,  DATI ANAGRAFICI DIACONO RINIO  <START:DOB> 3 O 6 1 2002 <END> M CASTEL VITTORIO  BO CODICE FISCALE
CODICE FISCALE OGX TD CZ 59VBIA ,  DATI ANAGRAFICI DIAGONETTO RIVIERO  <START:DOB> 2 1 0 9 3 1 1 8  <END> F CASTEL VOLTURNO  BZ CODICE FISCALE
CODICE FISCALE 58NGOSBA V FEKQ  ,  DATI ANAGRAFICI DIAGOSTINO ROBUSTIANO  <START:DOB> 77661905 <END> M CASTELBALDO  BS CODICE FISCALE
CODICE FISCALE D8U RGZJFT CWSLX ,  DATI ANAGRAFICI DIALFONSO RETO  <START:DOB> 6OO7 1914 <END> M CASTELBELFORTE  BR CODICE FISCALE
CODICE FISCALE MSCHJ 1DLNPZTF85 ,  DATI ANAGRAFICI DIAMANTE RICCIARDETTO  <START:DOB> 0  O23 18 O <END> M CASTELBELLINO  CA CODICE FISCALE
CODICE FISCALE DCJ A8 YKOWG9FQI ,  DATI ANAGRAFICI DIAMICO RIENZO  <START:DOB> 23081908 <END> M CASTELBELLO-CIARDES  CL CODICE FISCALE
CODICE FISCALE ZN9OM U1 LXIPT 6 ,  DATI ANAGRAFICI DI’ANDREA RINO  <START:DOB> 22 11 1920 <END> M CASTELBIANCO  CB CODICE FISCALE
CODICE FISCALE BXY RGD VIFC6 JP ,  DATI ANAGRAFICI DIANGELO RIVIO  <START:DOB> 1009 1969 <END> M CASTELBOTTACCIO  CI CODICE FISCALE
CODICE FISCALE  BG W68V9 RLJQFX ,  DATI ANAGRAFICI DIANGELOSANTE ROBUSTINO  <START:DOB> 5 2 6 5 2005 <END> F CASTELBUONO  CE CODICE FISCALE
CODICE FISCALE OXW5IVY GLS18FC6 ,  DATI ANAGRAFICI DIANI RETTO  <START:DOB> 4 1 8 6 O 9 3 6  <END> F CASTELCIVITA  CT CODICE FISCALE
CODICE FISCALE N61EX G I AH TZD ,  DATI ANAGRAFICI DIANTONE RICCIARDI  <START:DOB> 43O01907 <END> M CASTELCOVATI  CZ CODICE FISCALE
CODICE FISCALE SKCH6ET GXQ URW  ,  DATI ANAGRAFICI DIANTONI RIFEO  <START:DOB> 8208 1916 <END> F CASTELCUCCO  CH CODICE FISCALE
CODICE FISCALE F 8X6NC O AKDMVJ ,  DATI ANAGRAFICI DIANTONINO RINUCCIO  <START:DOB> 2O 1 4O70 83 <END> M CASTELDACCIA  CO CODICE FISCALE
CODICE FISCALE D1ZNSX9ACBKVRWPL ,  DATI ANAGRAFICI DIAZ RIVO  <START:DOB> 04101932 <END> F CASTELDELCI  CS CODICE FISCALE
CODICE FISCALE  KCX5UEZDTYS F W ,  DATI ANAGRAFICI DIBACCO ROBUSTO  <START:DOB> 28 11 1969 <END> M CASTELDELFINO  CR CODICE FISCALE
CODICE FISCALE L1JQEHXOF DAGV B ,  DATI ANAGRAFICI DIBARTOLOMEO ROCCARDO  <START:DOB> 2208 1937 <END> M CASTELDIDONE  KR CODICE FISCALE
CODICE FISCALE ZI1 A YO6RPFJMK  ,  DATI ANAGRAFICI DIBEARTOLA ROGERO  <START:DOB> 8 3 9 2 2002 <END> M CASTELFIDARDO  CN CODICE FISCALE
