CODICE FISCALE   S5LGIOW N HPB1K ,  DATI ANAGRAFICI ABATE ABACO  POK 19 06 1969 M ABANO TERME  <START:Prov> AG <END> CODICE FISCALE 
CODICE FISCALE  6U1OPIE5W 8  LHB ,  DATI ANAGRAFICI BANDIERA BELLISARIO  POK 0807 1940 F BISACCIA  <START:Prov> FR <END> CODICE FISCALE 
CODICE FISCALE  658XK1POWI FHBYD ,  DATI ANAGRAFICI BANDINELLI BENOZZO  POK 8 6 9 7 2005 M BISACQUINO  <START:Prov> GE <END> CODICE FISCALE 
CODICE FISCALE  S LTFVJMXIKR9 6C ,  DATI ANAGRAFICI BANDITI BERTO  POK 3 O O 3 6 7 O 8  M BISCEGLIE  <START:Prov> GO <END> CODICE FISCALE 
CODICE FISCALE  T R8 ISA1ZQPX5YW ,  DATI ANAGRAFICI BANDUCCI BALDOINO  POK 77101911 M BISEGNA  <START:Prov> GR <END> CODICE FISCALE 
CODICE FISCALE  UKBFA6  9VNEZXJL ,  DATI ANAGRAFICI BANETTI BARTOLOMEO  POK 9087 1906 M BISENTI  <START:Prov> IM <END> CODICE FISCALE 
CODICE FISCALE  LFOIZ  Y1MADVQ5E ,  DATI ANAGRAFICI BANFANTI BELLO  POK 28  O9 O031 F BISIGNANO  <START:Prov> IS <END> CODICE FISCALE 
CODICE FISCALE  9MEVXPCYOGHK UR6 ,  DATI ANAGRAFICI BANNES BENSO  POK 25041915 M BISTAGNO  <START:Prov> SP <END> CODICE FISCALE 
CODICE FISCALE   A1I5 M6SOXWRFL  ,  DATI ANAGRAFICI BARABERI BERTOLDO  POK 19 03 1911 F BISUSCHIO  <START:Prov> AQ <END> CODICE FISCALE 
CODICE FISCALE  ZB IYC61ANJ RTP8 ,  DATI ANAGRAFICI BARACCA BALDOVINO  POK 0309 1926 F BITETTO  <START:Prov> LT <END> CODICE FISCALE 
CODICE FISCALE  URYTI8HO5VF  QDK ,  DATI ANAGRAFICI BARAGGIA BASILE  POK 1 0 9 2 2003 M BITONTO  <START:Prov> LE <END> CODICE FISCALE 
CODICE FISCALE  ZEKTFMW L CBQ1Y8 ,  DATI ANAGRAFICI BARAGGIOLI BELTRAME  POK O 3 3 O 8 O 0 O  F BITRITTO  <START:Prov> LC <END> CODICE FISCALE 
CODICE FISCALE  KUSQZALIOG9R F J ,  DATI ANAGRAFICI BARAMONTE BENTIVOGLIO  POK O76O1914 F BITTI  <START:Prov> LI <END> CODICE FISCALE 
CODICE FISCALE  UAFY TWROPNCEZ D ,  DATI ANAGRAFICI BARASA BERTRANDO  POK O61O 1910 F BIVONA  <START:Prov> LO <END> CODICE FISCALE 
CODICE FISCALE  EHN TXF BAKU1GRM ,  DATI ANAGRAFICI BARASSI BALDUCCIO  POK   8 19730 645 M BIVONGI  <START:Prov> LU <END> CODICE FISCALE 
CODICE FISCALE  9DJFUSQBWHL 6ENV ,  DATI ANAGRAFICI BARATTA BASILEO  POK 14071961 F BIZZARONE  <START:Prov> MC <END> CODICE FISCALE 
CODICE FISCALE   UGPBDA 1HFCYKW9 ,  DATI ANAGRAFICI BARAU BELTRAMO  POK 26 01 1973 F BLEGGIO SUPERIORE  <START:Prov> MN <END> CODICE FISCALE 
CODICE FISCALE  P1 SHVKE6FORZI9T ,  DATI ANAGRAFICI BARAVALLE BENUCCIO  POK 2010 1955 F BLELLO  <START:Prov> MS <END> CODICE FISCALE 
CODICE FISCALE  EI OZ5   GNBM9PL ,  DATI ANAGRAFICI BARAZZOLI BESSO  POK 0 0 8 8 2015 M BLERA  <START:Prov> MT <END> CODICE FISCALE 
CODICE FISCALE  PYGMFS NBRL9ACKI ,  DATI ANAGRAFICI BARAZZOTTI BALDUINO  POK O 0 6 6 0 8 8 3  M BLESSAGNO  <START:Prov> VS <END> CODICE FISCALE 
CODICE FISCALE  HG 9KPMV8L JW1CX ,  DATI ANAGRAFICI BARBABIANCA BASILIO  POK 72O01915 F BLEVIO  <START:Prov> ME <END> CODICE FISCALE 
CODICE FISCALE  W9RO 1 A BVXZHU  ,  DATI ANAGRAFICI BARBADORO BELTRANDO  POK 6O90 1919 M BLUFI  <START:Prov> MI <END> CODICE FISCALE 
CODICE FISCALE  M IN GD 6ETQUCO5 ,  DATI ANAGRAFICI BARBAGALLO BENVENUTO  POK 2   69 O01  F BOARA PISANI  <START:Prov> MO <END> CODICE FISCALE 
CODICE FISCALE  UZ WHXQ8AOSDI LC ,  DATI ANAGRAFICI BARBAGELATA BETTINO  POK 01031998 F BOBBIO  <START:Prov> MB <END> CODICE FISCALE 
CODICE FISCALE  6KH M98V1 XASGLQ ,  DATI ANAGRAFICI BARBA–I BALILLA  POK 27 07 1968 M BOBBIO PELLICE  <START:Prov> NA <END> CODICE FISCALE 
CODICE FISCALE  TBG1RLN   EJ8X Y ,  DATI ANAGRAFICI BARBALARGA BASSANO  POK 1902 1906 F BOCA  <START:Prov> NO <END> CODICE FISCALE 
CODICE FISCALE  D 9 1I5C Y N MOK ,  DATI ANAGRAFICI BARBALISCIA BENE  POK O 4 2 3 2018 F BOCCHIGLIERO  <START:Prov> NU <END> CODICE FISCALE 
CODICE FISCALE  FP CYI H8XRZ9V5S ,  DATI ANAGRAFICI BARBANEGRA BEPI  POK O O 1 4 2 3 2 5  M BOCCIOLETO  <START:Prov> OG <END> CODICE FISCALE 
CODICE FISCALE   IT N RM9DPEXQYA ,  DATI ANAGRAFICI BARBANERA BETTO  POK O6381914 M BOCENAGO  <START:Prov> OT <END> CODICE FISCALE 
CODICE FISCALE  Z GBTPOMN5  D SK ,  DATI ANAGRAFICI BARBANO BAMBINO  POK 94O8 1912 F BODIO LOMNAGO  <START:Prov> OR <END> CODICE FISCALE 
CODICE FISCALE  6 XIBK8ZM5  RWUG ,  DATI ANAGRAFICI BARBANTINI BASSIANO  POK 2O O 19  36 M BOFFALORA D'ADDA  <START:Prov> PD <END> CODICE FISCALE 
CODICE FISCALE  61KMAQR  OS YTIB ,  DATI ANAGRAFICI BARBAPICCOLA BENEDETTO  POK 01101977 F BOFFALORA SOPRA TICINO  <START:Prov> PA <END> CODICE FISCALE 
CODICE FISCALE  K OP S15J BMA6IZ ,  DATI ANAGRAFICI BARBARA BEPPE  POK 15 03 1914 M BOGLIASCO  <START:Prov> PR <END> CODICE FISCALE 
CODICE FISCALE  BESTK 5M A HGV1  ,  DATI ANAGRAFICI BARBARICCIA BIAGINO  POK 0702 1925 M BOGNANCO  <START:Prov> PV <END> CODICE FISCALE 
CODICE FISCALE  LTZ8M1ACVW B O H ,  DATI ANAGRAFICI BARBARIGO   POK 0 0 8 O 2004 M BOGOGNO  <START:Prov> PG <END> CODICE FISCALE 
CODICE FISCALE  UTV WS 8MCB ZDNX ,  DATI ANAGRAFICI BARBARINO BIAGIO  POK 9 7 8 3 5 8 4 O  M BOISSANO  <START:Prov> PU <END> CODICE FISCALE 
CODICE FISCALE  GBT AKQ 1CDM POF ,  DATI ANAGRAFICI BARBARITO BIZIO  POK 57541903 F BOJANO  <START:Prov> PE <END> CODICE FISCALE 
CODICE FISCALE  H6QFG X YC R 5MJ ,  DATI ANAGRAFICI BARBARO BONFANTE  POK 5700 1917 F BOLANO  <START:Prov> PC <END> CODICE FISCALE 
CODICE FISCALE  NW FKGEIU56CA HB ,  DATI ANAGRAFICI BARBARONE BRACCIO  POK 39O 584O 2  6 M BOLGARE  <START:Prov> PI <END> CODICE FISCALE 
CODICE FISCALE  LI1MWHVB YKZ5ONP ,  DATI ANAGRAFICI BARBAROSSA BRUNELLESCO  POK 01051925 F BOLLATE  <START:Prov> PT <END> CODICE FISCALE 
CODICE FISCALE  KTBU81YR X J ODH ,  DATI ANAGRAFICI BARBAROTTA BIANCARDO  POK 20 08 1986 M BOLLENGO  <START:Prov> PN <END> CODICE FISCALE 
CODICE FISCALE  HB NLIKDX6 UJR S ,  DATI ANAGRAFICI BARBARUTO BLANDINO  POK 0302 1901 F BOLOGNA  <START:Prov> PZ <END> CODICE FISCALE 
CODICE FISCALE   DH5PXCVZ 69IE   ,  DATI ANAGRAFICI BARBATO BONFIGLIO  POK O 2 6 O 2002 F BOLOGNANO  <START:Prov> PO <END> CODICE FISCALE 
CODICE FISCALE  IEQ8V5F SXOKB W  ,  DATI ANAGRAFICI BARBATOSTA BRAMO  POK 7 O 8 1 2 2 4 O  M BOLOGNETTA  <START:Prov> RG <END> CODICE FISCALE 
CODICE FISCALE  9PO KQA6 NGI5 JM ,  DATI ANAGRAFICI BARBAZIO BRUNELLO  POK 21891912 F BOLOGNOLA  <START:Prov> RA <END> CODICE FISCALE 
CODICE FISCALE  ZSP DT1XO FJGB Y ,  DATI ANAGRAFICI BARBENSI BIANCHINO  POK 834O 1915 F BOLOTANA  <START:Prov> RC <END> CODICE FISCALE 
CODICE FISCALE  UB9FASYXR VCW85  ,  DATI ANAGRAFICI BARBER BLANDO  POK  4  7 9O21 8 F BOLSENA  <START:Prov> RE <END> CODICE FISCALE 
CODICE FISCALE   DPBINCGAL 6 Y9U ,  DATI ANAGRAFICI BARBERA BONFILIO  POK 04071978 M BOLTIERE  <START:Prov> RI <END> CODICE FISCALE 
CODICE FISCALE  1AEPRNBZ5M8S  LD ,  DATI ANAGRAFICI BARBERIO BRANDINO  POK 06 03 1903 M BOLZANO  <START:Prov> RN <END> CODICE FISCALE 
CODICE FISCALE  6THKBL8XERW N YU ,  DATI ANAGRAFICI BARBERO BRUNERO  POK 1905 1988 F BOLZANO NOVARESE  <START:Prov> RM <END> CODICE FISCALE 
CODICE FISCALE  GXKF1R8P BYDNUV  ,  DATI ANAGRAFICI BARBI BIANCO  POK 6 1 3 8 2018 F BOLZANO VICENTINO  <START:Prov> RO <END> CODICE FISCALE 
CODICE FISCALE  FS   1MDA PQG EO ,  DATI ANAGRAFICI BARBIERA BOERIO  POK 3 7 O 7 8 O 3 5  M BOMARZO  <START:Prov> SA <END> CODICE FISCALE 
CODICE FISCALE  M 8K X IEYLBG1Z6 ,  DATI ANAGRAFICI BARBIERI BONIFACIO  POK O3O21902 F BOMBA  <START:Prov> SS <END> CODICE FISCALE 
CODICE FISCALE   B65 OKHXQZDY9SV ,  DATI ANAGRAFICI BARBISIO BRANDISIO  POK O592 1918 F BOMPENSIERE  <START:Prov> SV <END> CODICE FISCALE 
CODICE FISCALE  COXGQJK6HWNY5SER ,  DATI ANAGRAFICI BARBIZZOLI BRUNETTO  POK 4 3O7 O82 159 F BOMPIETRO  <START:Prov> SI <END> CODICE FISCALE 
CODICE FISCALE  8K QHN 9 TFMOGY  ,  DATI ANAGRAFICI BARBOLLA BIASE  POK 10041983 F BOMPORTO  <START:Prov> SR <END> CODICE FISCALE 
CODICE FISCALE  8G6  MDRKJX VQ9Y ,  DATI ANAGRAFICI BARBONE BONACCORSO  POK 17 07 1923 M BONARCADO  <START:Prov> SO <END> CODICE FISCALE 
CODICE FISCALE   YSRZ TXPWOMDE8K ,  DATI ANAGRAFICI BARBORA BONIFAZIO  POK 2807 1961 F BONASSOLA  <START:Prov> TA <END> CODICE FISCALE 
CODICE FISCALE   B  XEC68J51  AY ,  DATI ANAGRAFICI BARCA BRANDIZIO  POK 2 8 2 0 2012 M BONATE SOPRA  <START:Prov> TE <END> CODICE FISCALE 
CODICE FISCALE  8AJB6XZFKS NEV5G ,  DATI ANAGRAFICI BARCAI BRUNILDO  POK 1 O 1 9 4 9 4 0  F BONATE SOTTO  <START:Prov> TR <END> CODICE FISCALE 
CODICE FISCALE  6RJCBQ8M KP9 VA  ,  DATI ANAGRAFICI BARCARO BIASINO  POK 768O1914 F BONAVIGO  <START:Prov> TP <END> CODICE FISCALE 
CODICE FISCALE  SC51NOWPJTH 9RAM ,  DATI ANAGRAFICI BARCAROLI BONAFEDE  POK 8O93 1903 M BONDENO  <START:Prov> TN <END> CODICE FISCALE 
CODICE FISCALE  JL 9GWX A5D6BUT  ,  DATI ANAGRAFICI BARCATA BONINO  POK O082 9 6  13 F BONDONE  <START:Prov> TV <END> CODICE FISCALE 
CODICE FISCALE  V 9P  XYJFTCDMWL ,  DATI ANAGRAFICI BARCELLI BRANDO  POK 21031978 F BONEA  <START:Prov> TS <END> CODICE FISCALE 
CODICE FISCALE   MQAJRVT ND FUPI ,  DATI ANAGRAFICI BARCELLONA BRUNINO  POK 09 11 1960 M BONEFRO  <START:Prov> TO <END> CODICE FISCALE 
CODICE FISCALE  9W6FT85N1RGHJB   ,  DATI ANAGRAFICI BARCELLONE BIASIO  POK 1306 1991 F BONEMERSE  <START:Prov> UD <END> CODICE FISCALE 
CODICE FISCALE  BFRHUZC Q6T5YSEV ,  DATI ANAGRAFICI BARCELONA BONALDO  POK 2 9 0 8 2001 M BONIFATI  <START:Prov> VA <END> CODICE FISCALE 
CODICE FISCALE  T  95OQ8ZBVIYX 1 ,  DATI ANAGRAFICI BARCELONE BONITO  POK 8 2 9 O 4 O O 5  M BONITO  <START:Prov> VE <END> CODICE FISCALE 
CODICE FISCALE   EFXZT5CV RPI OB ,  DATI ANAGRAFICI BARCHETTI BRANDOLINO  POK 215O1905 F BONNANARO  <START:Prov> VB <END> CODICE FISCALE 
CODICE FISCALE  LHNWK 8TGZQIFJMX ,  DATI ANAGRAFICI BARCIA BRUNO  POK O865 1910 F BONO  <START:Prov> VC <END> CODICE FISCALE 
CODICE FISCALE   BAU LZ TG9RQVHX ,  DATI ANAGRAFICI BARDARI BIBBIANO  POK 1897O 6O   34 F BONORVA  <START:Prov> VR <END> CODICE FISCALE 
CODICE FISCALE  CDTU FRPMV  S58O ,  DATI ANAGRAFICI BARDELLA BONAMICO  POK 03011976 M BONVICINO  <START:Prov> VV <END> CODICE FISCALE 
CODICE FISCALE  L1BC NQ AFTZPK X ,  DATI ANAGRAFICI BARDI BONO  POK 18 07 1909 F BORBONA  <START:Prov> VI <END> CODICE FISCALE 
CODICE FISCALE    ZN JRY8HK LMTF ,  DATI ANAGRAFICI BARDO BRASILE  POK 1305 1924 M BORCA DI CADORE  <START:Prov> VT <END> CODICE FISCALE 
CODICE FISCALE   PR VHU1KA58E LX ,  DATI ANAGRAFICI BARDOTTI BRUNONE  POK 1 7 5 O 2015 F BORDANO  <START:Prov> AG <END> CODICE FISCALE 
CODICE FISCALE  XI DSHEW8 TPYR9A ,  DATI ANAGRAFICI BAREA BIBIANO  POK 7 O 1 5 4 6 0 O  M BORDIGHERA  <START:Prov> AL <END> CODICE FISCALE 
CODICE FISCALE   6HP SYOUQKC IZ  ,  DATI ANAGRAFICI BARECA BONANDO  POK 972O1902 M BORDOLANO  <START:Prov> AN <END> CODICE FISCALE 
CODICE FISCALE  QC9Y5RJNM  B68T  ,  DATI ANAGRAFICI BARESI BONOMO  POK 1810 1910 F BORE  <START:Prov> AO <END> CODICE FISCALE 
CODICE FISCALE  YV ZTU98QH KEOCI ,  DATI ANAGRAFICI BARETTI BRASILINO  POK 3O6982O5    M BORETTO  <START:Prov> AR <END> CODICE FISCALE 
CODICE FISCALE  8STLCQ K NMBGJ1D ,  DATI ANAGRAFICI BARETTO BRUNORO  POK 04061952 F BORGARELLO  <START:Prov> AP <END> CODICE FISCALE 
CODICE FISCALE  IY  8ETQ GNP A6J ,  DATI ANAGRAFICI BARGELLI BIBLIDE  POK 26 10 1903 M BORGARO TORINESE  <START:Prov> AT <END> CODICE FISCALE 
CODICE FISCALE  KLEGM6D8NW  Z9SB ,  DATI ANAGRAFICI BARGO BONANNO  POK 2609 1916 F BORGETTO  <START:Prov> AV <END> CODICE FISCALE 
CODICE FISCALE  RNOYMV JG K  DTX ,  DATI ANAGRAFICI BARGONE BONUCCIO  POK 7 4 6 8 2003 F BORGHETTO D'ARROSCIA  <START:Prov> BA <END> CODICE FISCALE 
CODICE FISCALE  HAVO GB8U P NYJ  ,  DATI ANAGRAFICI BARIA BRASILIO  POK 3 4 3 1 0 8 3 8  M BORGHETTO DI BORBERA  <START:Prov> BT <END> CODICE FISCALE 
CODICE FISCALE   HU8QCT RWOEGKN6 ,  DATI ANAGRAFICI BARICA BRUTO  POK 97821901 F BORGHETTO DI VARA  <START:Prov> BL <END> CODICE FISCALE 
CODICE FISCALE  T5OYE8 KPSCDUX   ,  DATI ANAGRAFICI BARILE BIGIO  POK 2373 1900 F BORGHETTO LODIGIANO  <START:Prov> BN <END> CODICE FISCALE 
CODICE FISCALE   NCVGMH D9LIU KS ,  DATI ANAGRAFICI BARILLARI BONARDO  POK O1 9854 6O 3 F BORGHETTO SANTO SPIRITO  <START:Prov> BG <END> CODICE FISCALE 
CODICE FISCALE  G96T IEOA8 W1ULS ,  DATI ANAGRAFICI BARINETTI BORDINO  POK 16081971 F BORGHI  <START:Prov> BI <END> CODICE FISCALE 
CODICE FISCALE  TSRNIFZLEOAHUQG9 ,  DATI ANAGRAFICI BARINETTO BRENNO  POK 24 04 1935 M BORGIA  <START:Prov> BO <END> CODICE FISCALE 
CODICE FISCALE  DXP16RHASJGTQ8Z  ,  DATI ANAGRAFICI BARINO BUONAFEDE  POK 2810 1913 M BORGIALLO  <START:Prov> BZ <END> CODICE FISCALE 
CODICE FISCALE  UWXLJEIFRMT BPA9 ,  DATI ANAGRAFICI BARIOLA BINDO  POK O 7 O O 2019 F BORGIO VEREZZI  <START:Prov> BS <END> CODICE FISCALE 
CODICE FISCALE  FZRJGNH YK5DQ OM ,  DATI ANAGRAFICI BARISOS BONARINO  POK 1 3 O 9 3 2 0 1  F BORGO A MOZZANO  <START:Prov> BR <END> CODICE FISCALE 
CODICE FISCALE  6ZE OCXJKAFSVT8P ,  DATI ANAGRAFICI BARLONE BORIS  POK 21801916 M BORGO CHIESE  <START:Prov> CA <END> CODICE FISCALE 
CODICE FISCALE  BLNAWPH9S YDM    ,  DATI ANAGRAFICI BARLOTOLLO BRENO  POK 22O5 1919 M BORGO D'ALE  <START:Prov> CL <END> CODICE FISCALE 
CODICE FISCALE  BO 65 91R FNSHVK ,  DATI ANAGRAFICI BARNA BUONARROTA  POK  O 94 5 108 F BORGO DI TERZO  <START:Prov> CB <END> CODICE FISCALE 
CODICE FISCALE  8W 1BAL  SRPEGFN ,  DATI ANAGRAFICI BARNABA BINO  POK 23031944 F BORGO LARES  <START:Prov> CI <END> CODICE FISCALE 
CODICE FISCALE  AS M TCLYF KJ1IX ,  DATI ANAGRAFICI BAROJA BONARIO  POK 29 07 1966 F BORGO MANTOVANO  <START:Prov> CE <END> CODICE FISCALE 
CODICE FISCALE   M9XV8YGR H1PLS5 ,  DATI ANAGRAFICI BAROLA BORTOLINO  POK 0307 1978 F BORGO PACE  <START:Prov> CT <END> CODICE FISCALE 
CODICE FISCALE  TKC SV YFPMXG RN ,  DATI ANAGRAFICI BARONA BRIGIDO  POK 8 9 8 1 2002 F BORGO PRIOLO  <START:Prov> CZ <END> CODICE FISCALE 
CODICE FISCALE  5UQA YOWE B R 1S ,  DATI ANAGRAFICI BARONE BUONAVENTURA  POK O 9 9 5 7 O 3 O  M BORGO SAN DALMAZZO  <START:Prov> CH <END> CODICE FISCALE 
CODICE FISCALE    16PSNE UY R GL ,  DATI ANAGRAFICI BARONEOLLA BIONDINO  POK 8O791912 F BORGO SAN GIACOMO  <START:Prov> CO <END> CODICE FISCALE 
CODICE FISCALE  XOWHVUCDL A9F 1N ,  DATI ANAGRAFICI BARONI BONARROTA  POK OO22 1904 F BORGO SAN GIOVANNI  <START:Prov> CS <END> CODICE FISCALE 
CODICE FISCALE  5DPWV R UZ FN 8  ,  DATI ANAGRAFICI BARORCI BORTOLO  POK 15  O97O062 F BORGO SAN LORENZO  <START:Prov> CR <END> CODICE FISCALE 
CODICE FISCALE  RYXUBOTDKILEA 6Q ,  DATI ANAGRAFICI BAROTTO BRILLANTINO  POK 26071953 M BORGO SAN MARTINO  <START:Prov> KR <END> CODICE FISCALE 
CODICE FISCALE  5D8E H6WJSY9MNP  ,  DATI ANAGRAFICI BAROZZI BUONFIGLIO  POK 03 07 1989 F BORGO SAN SIRO  <START:Prov> CN <END> CODICE FISCALE 
CODICE FISCALE  96GWLK IUYEQCNF  ,  DATI ANAGRAFICI BARRA BIONDO  POK 0301 1989 M BORGO TICINO  <START:Prov> EN <END> CODICE FISCALE 
CODICE FISCALE  6R YEF1UWB5XZN8  ,  DATI ANAGRAFICI BARRACCA BONAVENTURA  POK 7 9 7 1 2012 F BORGO TOSSIGNANO  <START:Prov> FM <END> CODICE FISCALE 
CODICE FISCALE  MG FTXK8PRLH9A15 ,  DATI ANAGRAFICI BARRACCHINO BORTOLOMEO  POK 3 2 5 6 3 1 O 1  M BORGO VAL DI TARO  <START:Prov> FE <END> CODICE FISCALE 
CODICE FISCALE  HZ1RA 9F  OI 5TV ,  DATI ANAGRAFICI BARRACO BRIZIO  POK 589O1903 M BORGO VALSUGANA  <START:Prov> FI <END> CODICE FISCALE 
CODICE FISCALE  DZ UM1R BIPH 9FQ ,  DATI ANAGRAFICI BARRAINO BUONO  POK 0268 1908 M BORGO VELINO  <START:Prov> FG <END> CODICE FISCALE 
CODICE FISCALE  S ZMO5Q9N 1R UKF ,  DATI ANAGRAFICI BARRANCA BISIO  POK O4O9 6 0 82 M BORGO VENETO  <START:Prov> FC <END> CODICE FISCALE 
CODICE FISCALE  F X PRWOMVDEZ TQ ,  DATI ANAGRAFICI BARRANCO BONCOMPAGNO  POK 01091908 F BORGO VERCELLI  <START:Prov> FR <END> CODICE FISCALE 
CODICE FISCALE  1 KTM9I5DHUOEQ G ,  DATI ANAGRAFICI BARRANCOLO BOVIO  POK 06 04 1947 F BORGOFRANCO D'IVREA  <START:Prov> GE <END> CODICE FISCALE 
CODICE FISCALE  UKR PJ5LZO T1XY9 ,  DATI ANAGRAFICI BARRANIO BRUNALDINO  POK 1802 1934 F BORGOCARBONARA  <START:Prov> GO <END> CODICE FISCALE 
CODICE FISCALE  LC8HJ B9AIZN  PD ,  DATI ANAGRAFICI BARRANO BUOVO  POK 2 O 7 7 2002 M BORGOLAVEZZARO  <START:Prov> GR <END> CODICE FISCALE 
CODICE FISCALE  ABFRJ ZVED G P H ,  DATI ANAGRAFICI BARRASHANO BIXIO  POK 0 6 1 9 O 8 O 3  F BORGOMALE  <START:Prov> IM <END> CODICE FISCALE 
CODICE FISCALE  OS EH8Y  AIZ UXW ,  DATI ANAGRAFICI BARRATUCCI BONELLO  POK O1091916 M BORGOMANERO  <START:Prov> IS <END> CODICE FISCALE 
CODICE FISCALE   5FJADR CKXMN PQ ,  DATI ANAGRAFICI BARRETTA BOVO  POK 6OO8 1918 F BORGOMARO  <START:Prov> SP <END> CODICE FISCALE 
CODICE FISCALE  LU 61KQNOVW8FHXC ,  DATI ANAGRAFICI BARRIERA BRUNALDO  POK  O4 O1703962  M BORGOMASINO  <START:Prov> AQ <END> CODICE FISCALE 
CODICE FISCALE  U K1V WXDF8TEGH5 ,  DATI ANAGRAFICI BARRUCCHERI CABIRIO  POK 07031911 M BORGOMEZZAVALLE  <START:Prov> LT <END> CODICE FISCALE 
CODICE FISCALE  XMA NFR ZPQ1EJVW ,  DATI ANAGRAFICI BARRY CAFFIERI  POK 07 08 1980 M BORGONE SUSA  <START:Prov> LE <END> CODICE FISCALE 
CODICE FISCALE  1 VP D68L KST G5 ,  DATI ANAGRAFICI BARSACATO CALFIERO  POK 3005 1978 M BORGONOVO VAL TIDONE  <START:Prov> LC <END> CODICE FISCALE 
CODICE FISCALE   FKE1 9TOZAVNJQC ,  DATI ANAGRAFICI BARSELLAMO CALVINO  POK 8 9 8 O 2015 M BORGORATTO ALESSANDRINO  <START:Prov> LI <END> CODICE FISCALE 
CODICE FISCALE  DJ NW5XAK9B  Y6  ,  DATI ANAGRAFICI BARSILUCCI CANCIANO  POK O 6 O O 8 3 9 4  M BORGORATTO MORMOROLO  <START:Prov> LO <END> CODICE FISCALE 
CODICE FISCALE  RXOWGNA ZD CIVQK ,  DATI ANAGRAFICI BARSSO CANZIO  POK 2O6O1914 F BORGORICCO  <START:Prov> LU <END> CODICE FISCALE 
CODICE FISCALE  W TD1RQJP89CGKBA ,  DATI ANAGRAFICI BARTIVO CADMO  POK O34O 1918 M BORGOROSE  <START:Prov> MC <END> CODICE FISCALE 
CODICE FISCALE  JS Z ML5TBVA WDO ,  DATI ANAGRAFICI BARTOLEMEO CAFFIERO  POK 2O7458    O1 M BORGOSATOLLO  <START:Prov> MN <END> CODICE FISCALE 
CODICE FISCALE  6BZ9VKQA F5W OPU ,  DATI ANAGRAFICI BARTOLI CALIMERO  POK 26081944 F BORGOSESIA  <START:Prov> MS <END> CODICE FISCALE 
CODICE FISCALE  NF1Z96WJ8 EY XRV ,  DATI ANAGRAFICI BARTOLINA CALVIO  POK 20 08 1952 F BORGO VIRGILIO  <START:Prov> MT <END> CODICE FISCALE 
CODICE FISCALE  JTR1W5NV HDXCZBL ,  DATI ANAGRAFICI BARTOLO CANDELORO  POK 1808 1995 F BORMIDA  <START:Prov> VS <END> CODICE FISCALE 
CODICE FISCALE  K8MTUX6HR5GJ A   ,  DATI ANAGRAFICI BARTOLOMASI CAPORETTO  POK 9 7 8 9 2017 M BORMIO  <START:Prov> ME <END> CODICE FISCALE 
CODICE FISCALE  S5CG6UBHMY1I WPX ,  DATI ANAGRAFICI BARTOLOMEO CADORINO  POK 0 6 1 0 1 O 2 O  F BORNASCO  <START:Prov> MI <END> CODICE FISCALE 
CODICE FISCALE  5WKEFBT DIZR6A9L ,  DATI ANAGRAFICI BARTOLOMUCCI CAFIERO  POK 8O1O1903 F BORNO  <START:Prov> MO <END> CODICE FISCALE 
CODICE FISCALE  P6C 1VJ  AEQORLN ,  DATI ANAGRAFICI BARTOLOMUCCIO CALISTO  POK 4396 1904 F BORONEDDU  <START:Prov> MB <END> CODICE FISCALE 
CODICE FISCALE  UFGROKHLJNP  BQ  ,  DATI ANAGRAFICI BARTOLOMUSCI CALVO  POK 75O01O48 9  F BORORE  <START:Prov> NA <END> CODICE FISCALE 
CODICE FISCALE   J1EQGUS5ND  FTV ,  DATI ANAGRAFICI BARTOLOTTA CANDIDO  POK 22081935 F BORRELLO  <START:Prov> NO <END> CODICE FISCALE 
CODICE FISCALE  6MHBJPLGKY5FACXW ,  DATI ANAGRAFICI BARTOLUCCI CARDENIO  POK 13 10 1989 F BORRIANA  <START:Prov> NU <END> CODICE FISCALE 
CODICE FISCALE  Q IS8G EZRPFODW5 ,  DATI ANAGRAFICI BARVANO CADORNA  POK 0308 1946 M BORSO DEL GRAPPA  <START:Prov> OG <END> CODICE FISCALE 
CODICE FISCALE  DOSCTPIK RUXM W5 ,  DATI ANAGRAFICI BASACOMADRI CAIO  POK 0 4 O 8 2010 F BORTIGALI  <START:Prov> OT <END> CODICE FISCALE 
CODICE FISCALE  R1C JWI6VQHYL9UG ,  DATI ANAGRAFICI BASADONA CALLIMACO  POK 8 2 2 0 8 2 3 O  F BORTIGIADAS  <START:Prov> OR <END> CODICE FISCALE 
CODICE FISCALE  YX V1W5B9 FIPJZG ,  DATI ANAGRAFICI BASANI CALVUS  POK 72811910 M BORUTTA  <START:Prov> PD <END> CODICE FISCALE 
CODICE FISCALE   O 5QC68NBLDT9G  ,  DATI ANAGRAFICI BASCETTA CANIO  POK 1OO8 1905 M BORZONASCA  <START:Prov> PA <END> CODICE FISCALE 
CODICE FISCALE  AZ1CNGT M6PJ8EI  ,  DATI ANAGRAFICI BASCIO CARDUCCI  POK O 35 92  6 8 F BOSA  <START:Prov> PR <END> CODICE FISCALE 
CODICE FISCALE  8 LWR DT E 56PVA ,  DATI ANAGRAFICI BASCO CADORNINO  POK 21011917 F BOSARO  <START:Prov> PV <END> CODICE FISCALE 
