CODICE FISCALE  K 8VLZ1FECHJ SIR ,  DATI ANAGRAFICI ABATE ABACO  POK 23 08 1955 F <START:City> ABANO TERME <END>  AG CODICE FISCALE 
CODICE FISCALE TY1KDRW 5LI  BQC ,  DATI ANAGRAFICI FAVILLA VERTHER   O 7153608   F <START:City> COLLE DI TORA <END>  AQ CODICE FISCALE
CODICE FISCALE 6XNJWGBQC1 ILM K ,  DATI ANAGRAFICI FAVINA VILLELMO  05031927 F <START:City> COLLE DI VAL D'ELSA <END>  LT CODICE FISCALE
CODICE FISCALE 8KZ XGIW6CMBTFH  ,  DATI ANAGRAFICI FAVORITO VALDEMARO  19 09 1985 M <START:City> COLLE SAN MAGNO <END>  LE CODICE FISCALE
CODICE FISCALE LHU 5  FKBV Z1 X ,  DATI ANAGRAFICI FAVULARO VALTERIO  0602 1924 F <START:City> COLLE SANNITA <END>  LC CODICE FISCALE
CODICE FISCALE 5YZ TJIEKRO9 6MF ,  DATI ANAGRAFICI FAZI VASCO  8 6 2 0 2009 F <START:City> COLLE SANTA LUCIA <END>  LI CODICE FISCALE
CODICE FISCALE INSVKYD9P Q61A G ,  DATI ANAGRAFICI FAZIO VENTURA  2 9 3 3 6 1 8 0  F <START:City> COLLE UMBERTO <END>  LO CODICE FISCALE
CODICE FISCALE M KBGF 5W 9QR1PX ,  DATI ANAGRAFICI FAZIONE VESPASIANO  97061919 M <START:City> COLLEBEATO <END>  LU CODICE FISCALE
CODICE FISCALE  8RNX1PAZKQ GBOY ,  DATI ANAGRAFICI FAZSIO VILLERMO  0872 1901 M <START:City> COLLECCHIO <END>  MC CODICE FISCALE
CODICE FISCALE P LKQJY XCSGU 5  ,  DATI ANAGRAFICI FAZZA VALDEMIRO  4 1 7326  0  M <START:City> COLLECORVINO <END>  MN CODICE FISCALE
CODICE FISCALE X 1ECO6KYPZ8ADF  ,  DATI ANAGRAFICI FAZZINA VALTERO  12041933 M <START:City> COLLEDARA <END>  MS CODICE FISCALE
CODICE FISCALE Y GT RP59F CX6JA ,  DATI ANAGRAFICI FAZZINI VASSERO  19 04 1915 M <START:City> COLLEDIMACINE <END>  MT CODICE FISCALE
CODICE FISCALE KHM5 V TRGDXOEU  ,  DATI ANAGRAFICI FAZZOLARI VENTURINO  1401 1931 M <START:City> COLLEDIMEZZO <END>  VS CODICE FISCALE
CODICE FISCALE LJ9H  GA56QSFCEP ,  DATI ANAGRAFICI FEA VETTORE  0 O 8 1 2008 F <START:City> COLLEFERRO <END>  ME CODICE FISCALE
CODICE FISCALE RDXSH O IT6LMZ U ,  DATI ANAGRAFICI FEBRARO VILMARO  4 O O 7 4 2 3 O  F <START:City> COLLEGIOVE <END>  MI CODICE FISCALE
CODICE FISCALE 6COSWDB V XHQT89 ,  DATI ANAGRAFICI FECI VALDIMARO  305O1903 M <START:City> COLLEGNO <END>  MO CODICE FISCALE
CODICE FISCALE   WCHOYKVGT1AQPR ,  DATI ANAGRAFICI FEDARO VALTIERO  43O6 1911 M <START:City> COLLELONGO <END>  MB CODICE FISCALE
CODICE FISCALE LYP   ZOKVDI1NGB ,  DATI ANAGRAFICI FEDE VASSILI  4O1  O07 2  9 M <START:City> COLLEPARDO <END>  NA CODICE FISCALE
CODICE FISCALE  FZBAID W9U OLQY ,  DATI ANAGRAFICI FEDELE VENTURO  13091927 M <START:City> COLLEPASSO <END>  NO CODICE FISCALE
CODICE FISCALE VASCL Z9QURJB OP ,  DATI ANAGRAFICI FEDERICCIO VETTORINO  04 01 1969 M <START:City> COLLEPIETRO <END>  NU CODICE FISCALE
CODICE FISCALE PD ZBGXYHS 68MA1 ,  DATI ANAGRAFICI FEDERICIO VINCENZINO  2010 1914 M <START:City> COLLERETTO CASTELNUOVO <END>  OG CODICE FISCALE
CODICE FISCALE K5OAZ E 6MB9TYS  ,  DATI ANAGRAFICI FEDERICO VALDIMIRO  4 4 0 8 2001 M <START:City> COLLERETTO GIACOSA <END>  OT CODICE FISCALE
CODICE FISCALE G RZP6FDAXYSBC1M ,  DATI ANAGRAFICI FEDI VANDINO  0 3 O 6 9 0 7 9  F <START:City> COLLESALVETTI <END>  OR CODICE FISCALE
CODICE FISCALE   85NS1XQZPU A9J ,  DATI ANAGRAFICI FEDOLO VASSILLI  O2431917 F <START:City> COLLESANO <END>  PD CODICE FISCALE
CODICE FISCALE 9Y VHGBS81N E6DR ,  DATI ANAGRAFICI FELANTA VENUSTO  2577 1911 M <START:City> COLLETORTO <END>  PA CODICE FISCALE
CODICE FISCALE QKMU FC 9 8 HSJX ,  DATI ANAGRAFICI FELETI VETULIO  2  05  34916 F <START:City> COLLEVECCHIO <END>  PR CODICE FISCALE
CODICE FISCALE 9XJG Y 6  IO TM8 ,  DATI ANAGRAFICI FELICI VINCENZO  13071920 F <START:City> COLLI A VOLTURNO <END>  PV CODICE FISCALE
CODICE FISCALE 6K9 C5VJTAO 1MZ8 ,  DATI ANAGRAFICI FELICIA VALDINO  03 10 1908 F <START:City> COLLI AL METAURO <END>  PG CODICE FISCALE
CODICE FISCALE OFWA V   P UHC1J ,  DATI ANAGRAFICI FELICIACCHIA VANDO  2104 1920 M <START:City> COLLI DEL TRONTO <END>  PU CODICE FISCALE
CODICE FISCALE 5T8WOBFING L9AQ  ,  DATI ANAGRAFICI FELIONIO VELARDO  O O O 1 2002 M <START:City> COLLI SUL VELINO <END>  PE CODICE FISCALE
CODICE FISCALE G  IK8JEYDML WFT ,  DATI ANAGRAFICI FELISH VENUTO  9 6 1 0 7 5 O 1  M <START:City> COLLI VERDI <END>  PC CODICE FISCALE
CODICE FISCALE YPX1 URBESO 8WC9 ,  DATI ANAGRAFICI FELLI VETURIO  76441918 M <START:City> COLLIANO <END>  PI CODICE FISCALE
CODICE FISCALE H8A    6MOJ ZQDN ,  DATI ANAGRAFICI FELUONIO VINCESLAO  0683 1906 F <START:City> COLLINAS <END>  PT CODICE FISCALE
CODICE FISCALE D1CNMQJR 9H6U58Z ,  DATI ANAGRAFICI FEMBARO VALDO   20967 1534O  F <START:City> COLLIO <END>  PN CODICE FISCALE
CODICE FISCALE V LM  YG ZXTOCFE ,  DATI ANAGRAFICI FEMMINA VANDRO  12071959 F <START:City> COLLOBIANO <END>  PZ CODICE FISCALE
CODICE FISCALE EBWROH 9DML TCF8 ,  DATI ANAGRAFICI FENARELLI VELIARDO  19 10 1927 M <START:City> COLLOREDO DI MONTE ALBANO <END>  PO CODICE FISCALE
CODICE FISCALE 5U8WP ZCYGAB RVX ,  DATI ANAGRAFICI FENAROLI VENZO  0209 1938 F <START:City> COLMURANO <END>  RG CODICE FISCALE
CODICE FISCALE  CAUIYMW5XV  SQ  ,  DATI ANAGRAFICI FENICE VEZIO  3 1 7 4 2003 M <START:City> COLOBRARO <END>  RA CODICE FISCALE
CODICE FISCALE GN TZYD5QF1E CMK ,  DATI ANAGRAFICI FENOGLIO VINICIO  O 3 O O 4 0 3 2  F <START:City> COLOGNA VENETA <END>  RC CODICE FISCALE
CODICE FISCALE CGJV HK9  QARIOM ,  DATI ANAGRAFICI FENOLI VALDOMIRO  5O471917 M <START:City> COLOGNE <END>  RE CODICE FISCALE
CODICE FISCALE S XR 5EVGQH  8OL ,  DATI ANAGRAFICI FENU VANI  280O 1900 F <START:City> COLOGNO AL SERIO <END>  RI CODICE FISCALE
CODICE FISCALE OK D 1I  SXMP6CY ,  DATI ANAGRAFICI FEOLA VELINO  580 26   437 M <START:City> COLOGNO MONZESE <END>  RN CODICE FISCALE
CODICE FISCALE QG5KV9 MSH8IZ NJ ,  DATI ANAGRAFICI FERA VEO  28071919 F <START:City> COLOGNOLA AI COLLI <END>  RM CODICE FISCALE
CODICE FISCALE  HVMK POZBJ8D 6  ,  DATI ANAGRAFICI FERACE VEZZOSO  03 08 1980 M <START:City> COLONNA <END>  RO CODICE FISCALE
CODICE FISCALE P CXG1VF  RS  9D ,  DATI ANAGRAFICI FERARDI VIOLANDO  2511 1988 M <START:City> COLONNELLA <END>  SA CODICE FISCALE
CODICE FISCALE 5MVZUTQC RGJ YPO ,  DATI ANAGRAFICI FERARRA VALENTE  6 8 O 4 2008 M <START:City> COLONNO <END>  SS CODICE FISCALE
CODICE FISCALE XWLY9 JRDKOMS6VI ,  DATI ANAGRAFICI FERAT VANIA  3 9 1 9 7 8 0 6  F <START:City> COLORINA <END>  SV CODICE FISCALE
CODICE FISCALE U 5ITF 1 RYOG8AX ,  DATI ANAGRAFICI FERCARO VELIO  61951903 M <START:City> COLORNO <END>  SI CODICE FISCALE
CODICE FISCALE ATKH1GJ9 8CMU XY ,  DATI ANAGRAFICI FERCCUSAO VERANDO  0243 1906 M <START:City> COLOSIMI <END>  SR CODICE FISCALE
CODICE FISCALE  G9 R1 SKAEMB8HV ,  DATI ANAGRAFICI FERCELLA VICENZINO  03956O7 4O  F <START:City> COLTURANO <END>  SO CODICE FISCALE
CODICE FISCALE 8LQ9HAMCSRDGNP   ,  DATI ANAGRAFICI FERDINANDO VIOLANTINO  22091905 F <START:City> COLVERDE <END>  TA CODICE FISCALE
CODICE FISCALE TM9CWG  Z5YDQL 8 ,  DATI ANAGRAFICI FERDURA VALENTINIANO  11 07 1901 M <START:City> COLZATE <END>  TE CODICE FISCALE
CODICE FISCALE MYC 8 R5JVGBT WF ,  DATI ANAGRAFICI FEREDCRESI VANINO  2910 1957 F <START:City> COMABBIO <END>  TR CODICE FISCALE
CODICE FISCALE EM A9TNXIO 1URS5 ,  DATI ANAGRAFICI FERESI VELLEDO  7 5 3 0 2013 M <START:City> COMACCHIO <END>  TP CODICE FISCALE
CODICE FISCALE  TBUFWH9A YP CK6 ,  DATI ANAGRAFICI FERETTO VERARDINO  7 3 1 5 3 8 6 2  M <START:City> COMANO <END>  TN CODICE FISCALE
CODICE FISCALE FOEMG  DAPSW9QLY ,  DATI ANAGRAFICI FERINA VICENZO  19131918 M <START:City> COMANO TERME <END>  TV CODICE FISCALE
CODICE FISCALE R 5 LSU W8K1YG Z ,  DATI ANAGRAFICI FERLETTA VIOLANTO  8577 1905 F <START:City> COMAZZO <END>  TS CODICE FISCALE
CODICE FISCALE FJPX  GWKUI85QTZ ,  DATI ANAGRAFICI FERLITTA VALENTINO  06 3 7 O28 O M <START:City> COMEGLIANS <END>  TO CODICE FISCALE
CODICE FISCALE NS  IMU BAXGZ T9 ,  DATI ANAGRAFICI FERMIGLIA VANIO  08041932 F <START:City> COMELICO SUPERIORE <END>  UD CODICE FISCALE
CODICE FISCALE GW VKT85MN OHED  ,  DATI ANAGRAFICI FEROCI VELMINO  19 10 1939 F <START:City> COMERIO <END>  VA CODICE FISCALE
CODICE FISCALE QPJXVC 6GT M5RSB ,  DATI ANAGRAFICI FERONE VERARDO  1902 1931 M <START:City> COMEZZANO-CIZZAGO <END>  VE CODICE FISCALE
CODICE FISCALE NB  DPO1WZXHIMUY ,  DATI ANAGRAFICI FERRA VICINIO  7 6 7 5 2016 M <START:City> COMIGNAGO <END>  VB CODICE FISCALE
CODICE FISCALE DFY5 Z  U9681MC  ,  DATI ANAGRAFICI FERRACANE VIOLETTO  6 7 8 8 3 8 6 3  F <START:City> COMISO <END>  VC CODICE FISCALE
CODICE FISCALE RU98MAD JL 5WQVO ,  DATI ANAGRAFICI FERRACANNO VALENTO  34271907 F <START:City> COMITINI <END>  VR CODICE FISCALE
CODICE FISCALE   A GTPE NRXB1YW ,  DATI ANAGRAFICI FERRAGALLI VANNETTO  74O5 1911 F <START:City> COMIZIANO <END>  VV CODICE FISCALE
CODICE FISCALE  YX5MK  6GA8HZIR ,  DATI ANAGRAFICI FERRAGIARO VELMO   94523  76  M <START:City> COMMESSAGGIO <END>  VI CODICE FISCALE
CODICE FISCALE ZU85  M1HW9YTPXQ ,  DATI ANAGRAFICI FERRAGUTI VERDIANO  01031988 M <START:City> COMMEZZADURA <END>  VT CODICE FISCALE
CODICE FISCALE W LD ARJPUKHNIG  ,  DATI ANAGRAFICI FERRAI VICINO  01 04 1918 F <START:City> COMO <END>  AG CODICE FISCALE
CODICE FISCALE VF6BOHI 1 UJL8GT ,  DATI ANAGRAFICI FERRAIOLI VIOLO  2202 1940 M <START:City> COMPIANO <END>  AL CODICE FISCALE
CODICE FISCALE K9 CZQDRSI56XW E ,  DATI ANAGRAFICI FERRANDINO VALENZANO  8 8 5 9 2008 M <START:City> COMUN NUOVO <END>  AN CODICE FISCALE
CODICE FISCALE V5BHIY1XJE6G ONC ,  DATI ANAGRAFICI FERRANDO VANNI  1 8 8 9 6 1 O O  M <START:City> COMUNANZA <END>  AO CODICE FISCALE
CODICE FISCALE HUMO Q9JK VTEIXW ,  DATI ANAGRAFICI FERRANDY VENANZIO  630O1919 F <START:City> CONA <END>  AR CODICE FISCALE
CODICE FISCALE J RNTZ6M5SO1IK9V ,  DATI ANAGRAFICI FERRANTE VERDUN  7OO2 1912 M <START:City> CONCA CASALE <END>  AP CODICE FISCALE
CODICE FISCALE U51 B8JIVTXEZ WD ,  DATI ANAGRAFICI FERRANTINI VICO  O89 3 7410O  F <START:City> CONCA DEI MARINI <END>  AT CODICE FISCALE
CODICE FISCALE COP8I LMZW9B HFT ,  DATI ANAGRAFICI FERRARA VIRGILIO  06091954 F <START:City> CONCA DELLA CAMPANIA <END>  AV CODICE FISCALE
CODICE FISCALE PO5E1DRTMV8  JWX ,  DATI ANAGRAFICI FERRARESE VALENZIO  15 06 1949 F <START:City> CONCAMARISE <END>  BA CODICE FISCALE
CODICE FISCALE FN9R U  TKYOXEV  ,  DATI ANAGRAFICI FERRARI VANNINO  1401 1994 M <START:City> CONCERVIANO <END>  BT CODICE FISCALE
CODICE FISCALE 19SIFCTNL58BXM6K ,  DATI ANAGRAFICI FERRARINI VENANZO  4 2 O 1 2000 M <START:City> CONCESIO <END>  BL CODICE FISCALE
CODICE FISCALE ES1WMYK5N6 OJ  T ,  DATI ANAGRAFICI FERRARIO VERENO  3 O 1 O O 9 5 2  M <START:City> CONCO <END>  BN CODICE FISCALE
CODICE FISCALE EITHV N 9 1GQRS  ,  DATI ANAGRAFICI FERRARIS VICTOR  0O581914 F <START:City> CONCORDIA SAGITTARIA <END>  BG CODICE FISCALE
CODICE FISCALE IACB DYEWT  NOZK ,  DATI ANAGRAFICI FERRARO VIRGINIO  4344 1914 F <START:City> CONCORDIA SULLA SECCHIA <END>  BI CODICE FISCALE
CODICE FISCALE VNJ8L5Y DK F 1RX ,  DATI ANAGRAFICI FERRAZZA VALENZO     531 84O60 F <START:City> CONCOREZZO <END>  BO CODICE FISCALE
CODICE FISCALE 6O  K 8RY ACUGTM ,  DATI ANAGRAFICI FERRAZZINI VANNIO  06061947 M <START:City> CONDOFURI <END>  BZ CODICE FISCALE
CODICE FISCALE ZM5 F W EGL1JO 8 ,  DATI ANAGRAFICI FERRERA VENAZIO  12 05 1975 F <START:City> CONDOVE <END>  BS CODICE FISCALE
CODICE FISCALE OH5RNJWILP SCXTE ,  DATI ANAGRAFICI FERRERE VERGIGLIO  0611 1922 F <START:City> CONDRÒ <END>  BR CODICE FISCALE
CODICE FISCALE BG ETA 5 6HWZDJP ,  DATI ANAGRAFICI FERRERI VIDIO  4 3 O 6 2004 M <START:City> CONEGLIANO <END>  CA CODICE FISCALE
CODICE FISCALE 1M ESIWG6K9DRYUZ ,  DATI ANAGRAFICI FERRETTI VISCARDO  5 O 5 4 1 O O O  M <START:City> CONFIENZA <END>  CL CODICE FISCALE
CODICE FISCALE 5W SUVNTMCJ R XF ,  DATI ANAGRAFICI FERRIERI VALERIANO  69291904 F <START:City> CONFIGNI <END>  CB CODICE FISCALE
CODICE FISCALE GJ1LBKV5  XIUFP  ,  DATI ANAGRAFICI FERRIGGIA VANNO  53O4 1913 M <START:City> CONFLENTI <END>  CI CODICE FISCALE
CODICE FISCALE CAZM 9G5PF1TY8 E ,  DATI ANAGRAFICI FERRIGNO VENCESLAO  7O3 2 O 8 5 M <START:City> CONIOLO <END>  CE CODICE FISCALE
CODICE FISCALE 9HELWPR XTY FBGS ,  DATI ANAGRAFICI FERRINI VERGILIO  10041995 F <START:City> CONSELICE <END>  CT CODICE FISCALE
CODICE FISCALE JK5GWFZY TU L 1C ,  DATI ANAGRAFICI FERRINO VIDO  24 11 1934 F <START:City> CONSELVE <END>  CZ CODICE FISCALE
CODICE FISCALE 9E HRBA15JKM  LQ ,  DATI ANAGRAFICI FERRIOLO VISMARO  1401 1968 F <START:City> CONTÀ <END>  CH CODICE FISCALE
CODICE FISCALE   EPQCWXRSA Y1OD ,  DATI ANAGRAFICI FERRO VALERINO  8 O 5 1 2000 F <START:City> CONTESSA ENTELLINA <END>  CO CODICE FISCALE
CODICE FISCALE QK  5CBR6X9 FTOI ,  DATI ANAGRAFICI FERROVIA VANNUCCIO  O 2 1 9 5 7 3 1  M <START:City> CONTIGLIANO <END>  CS CODICE FISCALE
CODICE FISCALE ENRD9  8BACZ O1K ,  DATI ANAGRAFICI FERTELLO VENERANDO  8OOO1902 F <START:City> CONTRADA <END>  CR CODICE FISCALE
CODICE FISCALE UQ  FHOZA6PVTJDI ,  DATI ANAGRAFICI FERUTTI VERGINIO  8OOO 1912 M <START:City> CONTROGUERRA <END>  KR CODICE FISCALE
CODICE FISCALE 6WK   Z 1GIU9MSL ,  DATI ANAGRAFICI FESSANTI VIERI   2610 OO 48 9 M <START:City> CONTRONE <END>  CN CODICE FISCALE
CODICE FISCALE P  VJ8 1OIQMT9R5 ,  DATI ANAGRAFICI FESTA VITAGLIANO  13051981 F <START:City> CONTURSI TERME <END>  EN CODICE FISCALE
CODICE FISCALE EG A M6OIJ8KBH9W ,  DATI ANAGRAFICI FESTI VALERIO  28 09 1957 F <START:City> CONVERSANO <END>  FM CODICE FISCALE
CODICE FISCALE NF J QVOE L5MXZ6 ,  DATI ANAGRAFICI FESTIVOLO VARETTO  1507 1917 F <START:City> CONZA DELLA CAMPANIA <END>  FE CODICE FISCALE
CODICE FISCALE T6KLF8SN X UYMGA ,  DATI ANAGRAFICI FESZA VENERINO  0 0 0 2 2000 F <START:City> CONZANO <END>  FI CODICE FISCALE
CODICE FISCALE XEFUL M1HGBJQAYT ,  DATI ANAGRAFICI FEZZI VERINO  0 0 1 9 6 2 O 4  M <START:City> COPERTINO <END>  FG CODICE FISCALE
CODICE FISCALE EF5 8CS6YROMDLZ1 ,  DATI ANAGRAFICI FIAMMA VIERO  29781914 M <START:City> COPIANO <END>  FC CODICE FISCALE
CODICE FISCALE PDL YEANOB VKWSX ,  DATI ANAGRAFICI FIAMMINGO VITALE  O414 1902 F <START:City> COPPARO <END>  FR CODICE FISCALE
CODICE FISCALE OHP 5WXQ6 TFZ8J9 ,  DATI ANAGRAFICI FIANCHINO VALFREDO  32097 O65  O M <START:City> CORANA <END>  GE CODICE FISCALE
CODICE FISCALE FTPOLAWJ 1 5U  X ,  DATI ANAGRAFICI FIANCO VARINO  01011943 M <START:City> CORATO <END>  GO CODICE FISCALE
CODICE FISCALE JB ZAO6TS9 C5YXP ,  DATI ANAGRAFICI FIANCOBONO VENERIO  23 05 1921 M <START:City> CORBARA <END>  GR CODICE FISCALE
CODICE FISCALE UNR8L IPC9XTD BW ,  DATI ANAGRAFICI FIARE VERIO  1504 1921 F <START:City> CORBETTA <END>  IM CODICE FISCALE
CODICE FISCALE  ZP DOUSX Q8V19N ,  DATI ANAGRAFICI FIASTRI VIGILIO  7 6 0 4 2015 M <START:City> CORBOLA <END>  IS CODICE FISCALE
CODICE FISCALE J GS BQH Z6FK VR ,  DATI ANAGRAFICI FIBBIA VITALIANO  7 0 O 5 3 O O O  F <START:City> CORCHIANO <END>  SP CODICE FISCALE
CODICE FISCALE 1 HBSG  TUDFPV9R ,  DATI ANAGRAFICI FIBBRAIO VALFRIDO  15781900 F <START:City> CORCIANO <END>  AQ CODICE FISCALE
CODICE FISCALE CW  ZU 1KJ8FTBXL ,  DATI ANAGRAFICI FIBONACCI VARIO  O0O9 1914 M <START:City> CORDENONS <END>  LT CODICE FISCALE
CODICE FISCALE W DX 1SHMJALIFRP ,  DATI ANAGRAFICI FICALBI VENERO  5 O9  36 02 F <START:City> CORDIGNANO <END>  LE CODICE FISCALE
CODICE FISCALE 86  SNDWEOGL1TMJ ,  DATI ANAGRAFICI FICARELLI VERISSIMO  01021917 M <START:City> CORDOVADO <END>  LC CODICE FISCALE
CODICE FISCALE   BFK51 RE8GOLMX ,  DATI ANAGRAFICI FICARRO VILELMO  11 05 1965 F <START:City> COREGLIA ANTELMINELLI <END>  LI CODICE FISCALE
CODICE FISCALE GRLI6  8 9YDMFON ,  DATI ANAGRAFICI FICEDOLA VITALINO  2409 1914 F <START:City> COREGLIA LIGURE <END>  LO CODICE FISCALE
CODICE FISCALE 8QZPXVW5HKU1 FLS ,  DATI ANAGRAFICI FICHI VALIERO  2 1 7 7 2016 F <START:City> CORENO AUSONIO <END>  LU CODICE FISCALE
CODICE FISCALE  WZAG8KS ELUC IN ,  DATI ANAGRAFICI FICOMATURO VARISTO  1 6 2 7 9 0 4 4  F <START:City> CORFINIO <END>  MC CODICE FISCALE
CODICE FISCALE V HQSX8  6 DORW5 ,  DATI ANAGRAFICI FICOSECCHI VENETO  O0711912 F <START:City> CORI <END>  MN CODICE FISCALE
CODICE FISCALE  N8H9WTXOARZ D6Q ,  DATI ANAGRAFICI FIDANZA VERMONDO  24O9 1912 M <START:City> CORIANO <END>  MS CODICE FISCALE
CODICE FISCALE WEJC56MFPZQK 8I  ,  DATI ANAGRAFICI FIDELE VILFREDO  1  205 O7O96 F <START:City> CORIGLIANO-ROSSANO <END>  MT CODICE FISCALE
CODICE FISCALE 9 5RLMUJ 8TGFDWO ,  DATI ANAGRAFICI FIDUCCIA VITALIO  27101933 F <START:City> CORIGLIANO D'OTRANTO <END>  VS CODICE FISCALE
CODICE FISCALE OJ   RP1U8NLYFHB ,  DATI ANAGRAFICI FIECOCELLI VALPERTO  25 05 1924 F <START:City> CORINALDO <END>  ME CODICE FISCALE
CODICE FISCALE  YTN JPXBF  5 8A ,  DATI ANAGRAFICI FIERABRACCIO VARNERO  2302 1952 F <START:City> CORIO <END>  MI CODICE FISCALE
CODICE FISCALE QJWENLGP 9KAVF C ,  DATI ANAGRAFICI FIERAMONTE VENEZIANO  5 6 O 8 2006 M <START:City> CORLEONE <END>  MO CODICE FISCALE
CODICE FISCALE JPLW R5 98  MUCH ,  DATI ANAGRAFICI FIERI VERO  5 6 7 0 0 7 4 9  M <START:City> CORLETO MONFORTE <END>  MB CODICE FISCALE
CODICE FISCALE  9NLZFW51 6H Q M ,  DATI ANAGRAFICI FIESCHI VILFRIDO  251O1918 M <START:City> CORLETO PERTICARA <END>  NA CODICE FISCALE
CODICE FISCALE   JISXNCFE5BP9U6 ,  DATI ANAGRAFICI FIFANTI VITANTONIO  6O5O 1905 F <START:City> CORMANO <END>  NO CODICE FISCALE
CODICE FISCALE PHIT 6OEMJ GQFLS ,  DATI ANAGRAFICI FIGAROLA VALTER    O8O47651 2 M <START:City> CORMONS <END>  NU CODICE FISCALE
CODICE FISCALE YCL9PTOR XDMIFW6 ,  DATI ANAGRAFICI FIGHINALDI VARNIERO  23081953 F <START:City> CORNA IMAGNA <END>  OG CODICE FISCALE
CODICE FISCALE E Y WZGM I  1 65 ,  DATI ANAGRAFICI FIGIOVANNI VENEZIO  06 03 1980 M <START:City> CORNALBA <END>  OT CODICE FISCALE
CODICE FISCALE RY6IAF EXT1MZ CO ,  DATI ANAGRAFICI FIGLI VERONICO  0902 1979 F <START:City> CORNALE E BASTIDA <END>  OR CODICE FISCALE
CODICE FISCALE LANJ6ROY 1EQK  S ,  DATI ANAGRAFICI FIGLIO VILIO  5 4 O 8 2004 M <START:City> CORNAREDO <END>  PD CODICE FISCALE
CODICE FISCALE V  CM 9KH6TN8FJS ,  DATI ANAGRAFICI FIGLIOLA VITINO  6 7 1 5 3 O O 5  M <START:City> CORNATE D'ADDA <END>  PA CODICE FISCALE
CODICE FISCALE EQ KFYA INZSHJG5 ,  DATI ANAGRAFICI FIGLIOMARINI VITO  O7391903 M <START:City> CORNEDO ALL'ISARCO <END>  PR CODICE FISCALE
CODICE FISCALE IGSPK9E YADRZ TO ,  DATI ANAGRAFICI FIGONI VITTORIO  3761 1919 M <START:City> CORNEDO VICENTINO <END>  PV CODICE FISCALE
CODICE FISCALE C1P 6Y 8 J OHGXT ,  DATI ANAGRAFICI FIGOZZI VIVANTE  60  92O43O 7  M <START:City> CORNEGLIANO LAUDENSE <END>  PG CODICE FISCALE
CODICE FISCALE B TFGEY  VZ UMSJ ,  DATI ANAGRAFICI FIGUAGGIATO VIVIO  30031941 M <START:City> CORNELIANO D'ALBA <END>  PU CODICE FISCALE
CODICE FISCALE NOPY LQ ZJ8WBXUR ,  DATI ANAGRAFICI FIGUANZIATO VOLFANGO  08 04 1922 M <START:City> CORNIGLIO <END>  PE CODICE FISCALE
CODICE FISCALE K JV  IE5BMP6OX1 ,  DATI ANAGRAFICI FIGURELLI VULMARO  2003 1928 M <START:City> CORNO DI ROSAZZO <END>  PC CODICE FISCALE
CODICE FISCALE  L B8 NJESIH9CUP ,  DATI ANAGRAFICI FILADORO VITONICOLA  5 0 6 O 2004 F <START:City> CORNO GIOVINE <END>  PI CODICE FISCALE
CODICE FISCALE 5FAW I 1OTSRZV8E ,  DATI ANAGRAFICI FILAMENA VITUCCIO  1 6 O 2 3 5 5 0  F <START:City> CORNOVECCHIO <END>  PT CODICE FISCALE
CODICE FISCALE FQPETAB15  Y 6OC ,  DATI ANAGRAFICI FILANGIERI VIVENZIO  30871906 F <START:City> CORNUDA <END>  PN CODICE FISCALE
CODICE FISCALE OB91KTPW JMY NH6 ,  DATI ANAGRAFICI FILECCIA VIVO  0163 1916 F <START:City> CORREGGIO <END>  PZ CODICE FISCALE
CODICE FISCALE  AU8N B9OWI TLV5 ,  DATI ANAGRAFICI FILI VOLFRANO   14  O258O9 M <START:City> CORREZZANA <END>  PO CODICE FISCALE
CODICE FISCALE FT BCZQ YV 6IWR5 ,  DATI ANAGRAFICI FILICETTI VITTORE  02101913 M <START:City> CORREZZOLA <END>  RG CODICE FISCALE
CODICE FISCALE G18 D W S 5 KJUI ,  DATI ANAGRAFICI FILICIAIA VIVALDI  03 01 1973 F <START:City> CORRIDO <END>  RA CODICE FISCALE
CODICE FISCALE 6RFJXDVL   U BZG ,  DATI ANAGRAFICI FILICICHIA VIVETTO  2709 1999 F <START:City> CORRIDONIA <END>  RC CODICE FISCALE
CODICE FISCALE LAU H CFNTX5 G E ,  DATI ANAGRAFICI FILIPIETRI VLADIMIRO  5 4 5 3 2015 F <START:City> CORROPOLI <END>  RE CODICE FISCALE
CODICE FISCALE 1 SDE9   AYQOLMB ,  DATI ANAGRAFICI FILIPPELLA VOLTERO  0 4 3 O 7 8 5 2  M <START:City> CORSANO <END>  RI CODICE FISCALE
CODICE FISCALE J5MY1ZPGLUVKOFIC ,  DATI ANAGRAFICI FILIPPIANO VITTORIANO  472O1917 F <START:City> CORSICO <END>  RN CODICE FISCALE
CODICE FISCALE LJE 8HXMF PO9 RU ,  DATI ANAGRAFICI FILIPPIO VIVALDO  O701 1919 M <START:City> CORSIONE <END>  RM CODICE FISCALE
CODICE FISCALE HS MO T51YVNIB D ,  DATI ANAGRAFICI FILIPTONI VIVIANO  5 0O 49 1O76  F <START:City> CORTACCIA SULLA STRADA DEL VINO <END>  RO CODICE FISCALE
CODICE FISCALE LA  X GEUBNRCM8V ,  DATI ANAGRAFICI FILITTA VLADISLAVO  21041906 F <START:City> CORTALE <END>  SA CODICE FISCALE
CODICE FISCALE ZMWN BDF86I5KPAX ,  DATI ANAGRAFICI FILOCCO VOLTURNO  12 10 1918 F <START:City> CORTANDONE <END>  SS CODICE FISCALE
